#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 51210 9535 0 9534 192 88275772 9341 88281564 1 5792 2032 1 1 192.168.101.1 22 4585 0 4585 3796 31548 787 31656 1 108 0 1 1 1565757054483.6863 1565757062135.558 7651.872 51.009 59.42 7597.732 7546.538 50.804 51.02 1 1 0 0 0 0 0 0.07216 0.002 43.706 1.305984 3382 63 63 50.370646 30.569 93.42 6.080682 580 64 64 0 0 0 0 0 0 1 1 7 1 774 1460 65160 12 64256 64128 0 622640 16 32 0 1383 649 0 1 0 0 0 0 1 1 7 1 2102 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 786.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51234 13067 0 13066 216 109293308 12849 109307788 2 14480 3033 1 1 192.168.101.1 22 6282 0 6282 5309 38028 971 38100 1 72 0 1 1 1565757063438.3567 1565757072167.519 8729.162 50.954 60.431 8675.197 8623.826 50.816 50.964 1 1 0 0 0 0 0 0.061284000000000005 0.002 43.989 1.084163 4803 63 63 50.123514 30.729 93.623 5.616219 726 64 64 0 0 0 0 0 0 1 1 7 1 943 1460 65160 16 64256 64128 0 618296 16 32 0 2179 854 0 2 0 0 0 0 1 1 7 1 3259 1460.0 1080.0 28.0 3145728.0 59264.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 970.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51238 10566 0 10565 208 105089608 10356 105112776 2 23168 2444 1 1 192.168.101.1 22 5382 0 5382 4449 36588 931 36624 1 36 0 1 1 1565757073309.4333 1565757081759.139 8449.706 51.044 58.719 8394.682 8343.566 50.692 51.055 1 1 0 0 0 0 0 0.060873000000000003 0.002 43.116 0.9948299999999999 3999 63 63 50.865551 30.654 92.399 5.850264 680 64 64 0 0 0 0 0 0 1 1 7 1 827 1460 65160 16 64256 64128 0 651060 16 32 0 1378 1066 0 2 0 0 0 0 1 1 7 1 2681 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 930.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51264 10808 0 10807 237 109293380 10569 109329580 2 36200 2488 1 1 192.168.101.1 22 5465 0 5465 4498 37920 965 38028 2 108 0 1 1 1565757082945.065 1565757091634.4578 8689.393 50.73 58.526 8635.564 8584.388 50.569 50.74 1 1 0 0 0 0 0 0.074892 0.002 43.395 1.1726290000000001 3959 63 63 50.447784000000006 30.729 92.865 5.9420720000000005 705 64 64 0 0 0 0 0 0 1 1 7 1 833 1460 65160 16 64256 64128 0 615400 16 32 0 1292 1157 0 41 0 0 0 0 1 1 7 1 2663 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 963.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51290 9582 0 9581 210 96682776 9370 96695808 2 13032 2264 1 1 192.168.101.1 22 4935 0 4935 4068 34176 865 34248 1 72 0 1 1 1565757092644.1663 1565757100709.529 8065.363 50.992 58.525 8010.292 7959.291 50.745 51.003 1 1 0 0 0 0 0 0.071608 0.002 43.529 1.204918 3654 63 63 50.276334000000006 30.803 92.638 5.562147 625 64 64 0 0 0 0 0 0 1 1 7 1 1059 1460 65160 16 64256 64128 0 705880 16 32 0 1226 1038 0 2 0 0 0 0 1 1 7 1 2491 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 864.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51292 10492 0 10491 225 105089356 10265 105098044 1 8688 2220 1 1 192.168.101.1 22 5046 0 5046 4117 36552 927 36624 1 72 0 1 1 1565757102061.288 1565757110484.937 8423.649 51.048 58.392 8367.836 8316.542 50.851 51.057 1 1 0 0 0 0 0 0.08420599999999999 0.002 52.12 1.341233 3717 63 63 50.806468 30.66 90.97 5.559702 703 64 64 0 0 0 0 0 0 1 1 7 1 913 1460 65160 16 64256 64128 0 690696 16 32 0 1238 982 0 1 0 0 0 0 1 1 7 1 2346 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 926.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51318 10622 0 10621 220 100886016 10400 100943936 2 57920 2502 1 1 192.168.101.1 22 5371 0 5371 4473 35400 896 35436 1 36 0 1 1 1565757111600.298 1565757119751.2998 8151.002 50.964 58.44 8097.589 8046.545 50.73 50.974 1 1 0 0 0 0 0 0.058683000000000006 0.002 43.971 0.985941 4012 63 63 50.409674 30.7 104.871 5.822786 669 64 64 0 0 0 0 0 0 1 1 7 1 739 1460 65160 16 64256 64000 0 731068 16 32 0 1576 926 0 2 0 0 0 0 1 1 7 1 2721 1460.0 1080.0 28.0 3145728.0 54272.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 895.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51344 11382 0 11381 243 105089320 11137 105125520 14 36200 2826 1 1 192.168.101.1 22 5661 0 5661 4733 36480 926 36552 1 72 0 1 1 1565757121076.618 1565757129572.267 8495.649 51.186 59.183 8440.765 8389.404 51.027 51.195 1 1 0 0 0 0 0 0.05022 0.002 42.831 0.9440299999999999 4243 63 63 50.539526 30.659 94.865 6.364975 660 64 64 0 0 0 0 0 0 1 1 7 1 613 1460 65160 16 64256 64128 0 752792 16 32 0 1803 979 0 58 0 0 0 0 1 1 7 1 3161 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 925.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51348 12500 0 12499 234 109293308 12264 109296204 1 2896 3069 1 1 192.168.101.1 22 6147 0 6147 5174 37992 971 38028 1 36 0 1 1 1565757130731.745 1565757139469.3767 8737.632 40.983 50.57 8683.082 8631.786 40.818 40.993 1 1 0 0 0 0 0 0.06454299999999999 0.002 43.37 1.079768 4666 63 63 50.612687 30.749 92.273 5.6218129999999995 699 64 64 0 0 0 0 0 0 1 1 7 1 909 1460 65160 16 64256 64128 0 669252 16 32 0 1831 1238 0 1 0 0 0 0 1 1 7 1 3306 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 970.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51372 14232 0 14231 267 117699988 13963 117707228 1 7240 2799 1 1 192.168.101.1 22 6047 0 6047 5008 40584 1037 40692 1 108 0 1 1 1565757140927.3752 1565757150147.6963 9220.321 50.941 59.774 9176.399 9125.017 50.763 50.951 1 1 0 0 0 0 0 0.066173 0.002 43.723 1.127133 4551 63 63 50.668972 31.023 93.576 5.829325 759 64 64 0 0 0 0 0 0 1 1 7 1 1609 1460 65160 16 64256 64128 0 673128 16 32 0 2072 727 0 1 0 0 0 0 1 1 7 1 3078 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 1036.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
