#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 38102 322382 0 322381 3773 1202211016 318607 1202290656 11 79640 150692 1 1 192.168.101.1 22 228061 0 228061 217578 386220 10481 386256 1 36 0 1 1 1565813459187.6443 1565813560858.478 101670.834 51.846 49.294 101630.038 101579.047 41.364 49.294 1 1 0 0 32768 0 0 0.009322 0.002 43.013 0.21141 139330 63 63 38.466142 30.026 86.31 5.634338 7952 64 64 0 0 0 0 0 0 1 1 7 1 14598 1460 65160 12 64256 63872 0 559756 16 32 58 125178 25397 0 70 0 0 0 0 1 1 7 1 217844 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3492.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 58.0 10479.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38298 331650 0 331649 3616 1168582889 328032 1168617644 3 34755 152904 1 1 192.168.101.1 22 230398 0 230398 220208 372216 10188 372252 1 36 0 1 1 1565813577398.154 1565813675647.7913 98249.637 41.545 51.656 98215.826 98175.074 41.396 41.556 1 1 0 0 0 0 0 0.009507 0.002 42.393 0.207058 142075 63 63 38.532463 30.032 92.05 5.574323000000001 7781 64 64 0 0 0 0 0 0 1 1 7 1 14802 1460 65160 12 64256 63872 0 537300 12 32 0 126782 26122 0 3 0 0 0 0 1 1 7 1 220079 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1244.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 34.0 10187.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38508 302844 0 302843 3319 1109733791 299523 1109767096 10 33305 134413 1 1 192.168.101.1 22 203874 0 203874 194205 363468 9667 363540 2 72 0 1 1 1565813692016.382 1565813787089.715 95073.333 41.902 57.201 95019.144 94978.163 41.869 41.922 1 1 0 0 0 0 0 0.010362 0.002 43.949 0.23724299999999998 127834 63 63 39.019092 30.052 94.737 5.690653 7268 64 64 0 0 0 0 0 0 1 1 7 1 13895 1460 65160 12 64256 63488 0 607048 12 32 0 115287 18562 0 574 0 0 0 0 1 1 7 1 190767 1460.0 2896.0 28.0 3145728.0 58368.0 0.0 3888.0 28.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 91.0 9662.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38688 297088 0 297087 3448 1139059631 293638 1139223340 34 163709 135931 1 1 192.168.101.1 22 206709 0 206709 196785 372000 9922 372036 1 36 0 1 1 1565813803093.797 1565813899087.1687 95993.372 41.796 50.235 95939.375 95898.57 41.796 41.825 1 1 0 0 0 0 0 0.009793000000000001 0.002 42.277 0.21168499999999998 127993 63 63 38.773638 30.159 83.066 5.693117 7493 64 64 0 0 0 0 0 0 1 1 7 1 14415 1460 65160 12 64256 62592 0 558308 12 32 25 113668 22091 0 181 0 0 0 0 1 1 7 1 194853 1460.0 2896.0 20.0 3145728.0 56704.0 0.0 4104.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 61.0 9918.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 38892 301589 0 301588 3820 1223228685 297767 1223240272 4 11587 139221 1 1 192.168.101.1 22 215232 0 215232 204589 393024 10641 393060 1 36 0 1 1 1565813916817.6062 1565814020620.891 103803.285 51.721 63.417 103759.534 103718.75 51.61 51.732 1 1 0 0 0 0 0 0.010618 0.002 43.807 0.24655 127265 63 63 38.690364 30.087 93.811 5.629965 8018 64 64 0 0 0 0 0 0 1 1 7 1 13312 1460 65160 12 64256 63616 0 538116 16 32 3 113094 26025 0 103 0 0 0 0 1 1 7 1 204642 1460.0 1684.0 28.0 3145728.0 64128.0 0.0 3780.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 10639.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39096 285987 0 285986 3820 1227432206 282165 1227440896 2 8690 130025 1 1 192.168.101.1 22 202359 0 202359 191667 396876 10690 396912 1 36 0 1 1 1565814037954.9102 1565814143935.7913 105980.881 31.859 39.955 105926.771 105875.792 31.708 31.869 1 1 0 0 0 0 0 0.011493000000000001 0.002 46.889 0.230555 122914 63 63 39.256609999999995 30.092 91.445 5.8860269999999995 7979 64 64 0 0 0 0 0 0 1 1 7 1 15366 1460 65160 12 64256 63616 0 574728 12 32 0 108170 21848 0 9 0 0 0 0 1 1 7 1 187901 1460.0 2896.0 28.0 2816640.0 64128.0 0.0 3708.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 60.0 10687.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39314 347742 0 347741 3577 1155857109 344163 1156002488 36 145379 156458 1 1 192.168.101.1 22 230712 0 230712 220635 374412 10075 374520 2 108 0 1 1 1565814160603.154 1565814257742.962 97139.808 41.892 52.252 97096.172 97065.307 41.892 41.921 1 1 0 0 0 0 0 0.009973000000000001 0.002 51.341 0.219638 146261 63 63 38.80717 30.083 83.114 5.678226 7643 64 64 0 0 0 0 0 0 1 1 7 1 15291 1460 65160 12 64256 63872 0 541860 12 32 76 134956 21305 0 157 0 0 0 0 1 1 7 1 218948 1460.0 1792.0 28.0 3138688.0 64128.0 0.0 3888.0 28.0 32.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 61.0 10071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39508 292950 0 292949 3688 1244244768 289260 1244391016 20 146248 129507 1 1 192.168.101.1 22 199568 0 199568 188743 397884 10823 397920 1 36 0 1 1 1565814276320.039 1565814384370.2683 108050.229 42.126 49.97 108016.195 107985.47 41.907 42.136 1 1 0 0 0 0 0 0.012381999999999999 0.002 49.642 0.26414699999999997 123672 63 63 39.231027000000005 30.087 83.408 6.105536 8043 64 64 0 0 0 0 0 0 1 1 7 1 15483 1460 65160 12 64256 63616 0 657392 12 32 0 109283 20211 0 43 0 0 0 0 1 1 7 1 184130 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1332.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 76.0 10822.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39722 312074 0 312073 3697 1198007352 308375 1198056584 8 49232 142908 1 1 192.168.101.1 22 216200 0 216200 205771 388056 10427 388128 1 72 0 1 1 1565814400586.6067 1565814502261.046 101674.439 31.296 39.241 101630.098 101589.274 31.201 31.306 1 1 0 0 0 0 0 0.009964 0.002 41.112 0.191379 134624 63 63 38.784124 30.072 88.942 5.7400519999999995 7828 64 64 0 0 0 0 0 0 1 1 7 1 15534 1460 65160 12 64256 63616 0 592568 16 32 46 120081 22737 0 52 0 0 0 0 1 1 7 1 203503 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 3672.0 28.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 64.0 10424.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 39920 310815 0 310814 3621 1181193704 307192 1181208184 4 14480 140112 1 1 192.168.101.1 22 213987 0 213987 203696 379020 10289 379056 1 36 0 1 1 1565814517554.0867 1565814616907.3113 99353.224 51.527 60.757 99308.662 99267.824 51.312 51.538 1 1 0 0 0 0 0 0.009937999999999999 0.002 43.983 0.192531 133169 63 63 39.166011 30.108 93.952 5.752280000000001 7757 64 64 0 0 0 0 0 0 1 1 7 1 15099 1460 65160 12 64256 63616 0 570512 16 32 0 122258 17839 0 19 0 0 0 0 1 1 7 1 200607 1460.0 2896.0 28.0 2776576.0 64128.0 0.0 3744.0 28.0 32.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 51.0 10287.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
