#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46000 55529 0 55528 209 1193803148 55318 1193803148 0 0 0 1 1 192.168.101.1 22 114937 0 114937 104536 382584 10399 382584 0 0 0 1 1 1565681851898.0142 1565681952315.244 100417.23 32.658 71.7 100381.956 100380.811 32.328 63.152 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.355688 30.103 73.556 0.6835859999999999 12710.0 64.0 64.0 4.586389 0.006 44.493 1.5665120000000001 10289.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 93.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 686352.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2899.0 1460.0 2896.0 28.0 3145728.0 64128.0 0.0 2896.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 132.0 10398.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46194 51526 0 51525 311 1092918018 51213 1092918020 1 2 0 1 1 192.168.101.1 22 104690 0 104690 95177 348204 9511 348204 0 0 0 1 1 1565681968173.4333 1565682060109.77 91936.337 33.084 75.247 91897.035 91892.469 32.81 63.776 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.390520000000002 30.037 74.813 0.7632869999999999 10579.0 64.0 64.0 4.103986 0.002 46.363 1.8742459999999999 9310.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 107.0 1460.0 26064.0 12.0 64256.0 64128.0 0.0 673320.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2644.0 1460.0 1100.0 28.0 3145344.0 64128.0 0.0 1100.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 63.0 9511.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46364 56304 0 56303 357 1198005443 55945 1198005444 1 1 0 1 1 192.168.101.1 22 112280 0 112280 101855 381036 10423 381036 0 0 0 1 1 1565682077981.9993 1565682179209.5068 101227.508 32.46 71.763 101191.976 101191.494 32.135 63.062 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.390827 30.068 73.258 0.641113 13801.0 64.0 64.0 4.138297000000001 0.005 45.802 1.8583610000000002 10187.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 111.0 1460.0 24616.0 16.0 64256.0 64000.0 0.0 670424.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3054.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 76.0 10423.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46560 53405 0 53404 359 1134953361 53044 1134953364 1 3 0 1 1 192.168.101.1 22 107294 0 107294 97412 361524 9880 361524 0 0 0 1 1 1565682196405.078 1565682293555.389 97150.311 32.473 73.237 97113.043 97112.554 32.16 63.255 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.374959999999998 30.061 75.125 0.721065 11675.0 64.0 64.0 4.395897 0.004 44.954 2.1281369999999997 9636.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 104.0 1460.0 24616.0 12.0 64256.0 64128.0 0.0 673320.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2811.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 9880.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46752 50102 0 50101 204 1067695145 49896 1067695148 1 3 0 1 1 192.168.101.1 22 101027 0 101027 91729 339384 9296 339384 0 0 0 1 1 1565682309543.007 1565682399450.5256 89907.519 32.959 76.511 89867.673 89867.134 32.672 63.884 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.391564000000002 30.027 74.452 0.707047 12048.0 64.0 64.0 4.34258 0.005 41.201 1.582598 9166.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 79.0 1460.0 24616.0 16.0 64256.0 64000.0 0.0 670424.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2384.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 29.0 9296.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46930 54380 0 54379 216 1164377929 54162 1164377932 1 3 0 1 1 192.168.101.1 22 111629 0 111629 101496 376716 10131 376716 0 0 0 1 1 1565682416267.692 1565682513943.58 97675.888 32.414 71.196 97637.584 97637.086 32.154 62.907 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.347717 30.064 74.63 0.6822159999999999 12672.0 64.0 64.0 4.129729 0.006 48.025 1.6386720000000001 9999.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 87.0 1460.0 24616.0 16.0 64256.0 64128.0 0.0 668976.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2642.0 1460.0 3384.0 28.0 3145728.0 64128.0 0.0 3384.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 10131.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47124 62501 0 62500 310 1227430621 62189 1227430624 1 3 0 1 1 192.168.101.1 22 119353 0 119353 108661 390864 10690 390864 0 0 0 1 1 1565682531509.151 1565682634813.12 103303.969 32.65 72.48 103269.348 103268.666 32.375 63.428 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.31485 29.989 73.131 0.571637 18172.0 64.0 64.0 4.057822 0.004 46.819 1.8669930000000001 10505.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 117.0 1460.0 24616.0 12.0 64256.0 64000.0 0.0 673320.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2989.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 35.0 10690.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47334 58480 0 58479 299 1248448296 58179 1248448296 0 0 0 1 1 192.168.101.1 22 119897 0 119897 109031 400764 10864 400764 0 0 0 1 1 1565682653862.072 1565682761488.83 107626.758 32.356 72.192 107592.589 107592.162 32.031 63.039 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.357165999999996 30.026 72.707 0.64666 13489.0 64.0 64.0 4.491 0.004 48.006 1.841851 10678.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 113.0 1460.0 24616.0 12.0 64256.0 64128.0 0.0 674768.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3133.0 1460.0 3600.0 28.0 3145728.0 64128.0 0.0 3600.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 64.0 10864.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47552 56272 0 56271 390 1198006090 55880 1198006092 1 2 0 1 1 192.168.101.1 22 110527 0 110527 100092 384240 10433 384240 0 0 0 1 1 1565682778946.322 1565682881134.4006 102188.079 32.464 72.689 102149.554 102149.063 32.14 62.984 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.402399 30.015 74.175 0.6832050000000001 13412.0 64.0 64.0 4.451365 0.006 46.189 2.179614 10148.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 106.0 1460.0 24616.0 12.0 64256.0 63616.0 0.0 673320.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2857.0 1460.0 2916.0 28.0 3145728.0 64128.0 0.0 2916.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 68.0 10433.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47746 57110 0 57109 320 1109732134 56788 1109732136 1 2 0 1 1 192.168.101.1 22 107943 0 107943 98276 356484 9665 356484 0 0 0 1 1 1565682897385.9272 1565682990768.235 93382.308 32.994 72.559 93346.676 93346.228 32.669 63.774 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.299045 29.972 72.389 0.585029 16836.0 64.0 64.0 4.145554 0.005 47.907 2.24079 9458.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 114.0 1460.0 24616.0 12.0 64256.0 62848.0 0.0 673320.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2757.0 1460.0 3096.0 28.0 3145728.0 64128.0 0.0 3096.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 86.0 9665.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
