#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 59860 10370 0 10369 27 96602136 10341 96602136 0 0 0 1 1 192.168.101.1 22 4025 0 4025 3252 31260 771 31260 0 0 0 1 1 1565674401340.5127 1565674413008.352 11667.839 31.217 69.413 11634.394 11633.762 30.93 61.657 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.750595 30.159 71.883 1.6789150000000002 1838.0 64.0 64.0 5.672687000000001 0.005 45.734 6.348566 759.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8.0 1460.0 20272.0 16.0 64256.0 64128.0 0.0 529968.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 101.0 1460.0 1080.0 28.0 1424640.0 56704.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 771.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59872 7383 0 7382 148 92424356 7233 92424356 0 0 0 1 1 192.168.101.1 22 3225 0 3225 2460 30504 763 30504 0 0 0 1 1 1565674414104.1582 1565674422163.4897 8059.332 31.241 69.63 8025.89 8025.405 30.85 61.641 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.862346999999996 30.167 71.652 1.957827 1333.0 64.0 64.0 3.7711349999999997 0.006 46.484 7.291508 620.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9.0 1460.0 21720.0 16.0 64256.0 64128.0 0.0 579200.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 133.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 763.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59894 7270 0 7269 226 96635652 7042 96635652 0 0 0 1 1 192.168.101.1 22 2950 0 2950 2131 32880 817 32880 0 0 0 1 1 1565674423276.3457 1565674431264.491 7988.145 31.171 69.14 7954.29 7953.817 30.881 61.746 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.97462 30.187 72.237 2.1537919999999997 1101.0 64.0 64.0 4.088935 0.003 45.823 8.378017 604.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 10.0 1460.0 21720.0 16.0 64256.0 64128.0 0.0 600920.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 92.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 817.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59920 7360 0 7359 255 100839432 7103 100839432 0 0 0 1 1 192.168.101.1 22 2919 0 2919 2070 33564 847 33564 0 0 0 1 1 1565674432404.889 1565674440511.826 8106.937 31.208 69.478 8072.518 8072.067 30.915 61.786 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.100294 30.318 71.418 2.3924950000000003 886.0 64.0 64.0 4.444834999999999 0.004 45.225 9.251122 597.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9.0 1460.0 23168.0 16.0 64256.0 64128.0 0.0 615400.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 105.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 847.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59924 7218 0 7217 66 100839288 7150 100839288 0 0 0 1 1 192.168.101.1 22 4491 0 4491 3647 33348 842 33348 0 0 0 1 1 1565674441648.9 1565674449697.177 8048.277 31.689 69.969 8011.377 8010.89 31.362 62.321 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.744514000000002 30.08 70.896 1.7203650000000001 1709.0 64.0 64.0 2.670074 0.005 46.492 5.328779 784.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 12.0 1460.0 23168.0 16.0 64256.0 64128.0 0.0 618296.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 151.0 1460.0 1080.0 28.0 2329984.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 842.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59948 8287 0 8286 134 121857103 8151 121857104 1 1 0 1 1 192.168.101.1 22 4588 0 4588 3560 39972 1026 39972 0 0 0 1 1 1565674451153.0247 1565674460171.209 9018.184 31.326 69.619 8984.362 8983.88 30.928 61.976 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.856321 30.12 74.086 1.744604 1723.0 64.0 64.0 2.6241950000000003 0.004 47.016 5.263912 881.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4.0 1460.0 24616.0 16.0 64256.0 64128.0 0.0 667528.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 170.0 1460.0 1080.0 28.0 3145728.0 63104.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 1026.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59974 7519 0 7518 211 109256048 7306 109256048 0 0 0 1 1 192.168.101.1 22 3835 0 3835 2905 36516 928 36516 0 0 0 1 1 1565674461369.588 1565674469496.4968 8126.909 31.096 68.875 8092.394 8091.727 30.767 61.436 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.874966999999998 30.012 72.02 1.9692869999999998 1347.0 64.0 64.0 2.805541 0.005 44.189 6.609091 717.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8.0 1460.0 24616.0 16.0 64256.0 64128.0 0.0 651600.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 129.0 1460.0 1080.0 28.0 3145472.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 928.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 59978 6401 0 6400 107 88234984 6292 88234984 0 0 0 1 1 192.168.101.1 22 3571 0 3571 2824 29892 745 29892 0 0 0 1 1 1565674470605.423 1565674477765.25 7159.827 30.991 70.84 7125.692 7125.209 30.688 61.52 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.811208 30.039 79.611 2.131516 1329.0 64.0 64.0 2.981315 0.004 47.425 6.344981 638.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6.0 1460.0 23168.0 16.0 64256.0 64128.0 0.0 602368.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 103.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 745.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60002 8198 0 8197 187 121865888 8009 121865888 0 0 0 1 1 192.168.101.1 22 4781 0 4781 3742 40404 1037 40404 0 0 0 1 1 1565674479217.618 1565674488022.42 8804.802 31.404 70.955 8770.608 8770.152 31.038 61.94 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.795709999999996 30.1 75.666 1.8916810000000002 1575.0 64.0 64.0 2.726587 0.007 46.624 5.871471 845.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11.0 1460.0 24616.0 16.0 64256.0 64128.0 0.0 679112.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 143.0 1460.0 1080.0 28.0 2285440.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 1037.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 60028 6850 0 6849 276 96646092 6572 96646092 0 0 0 1 1 192.168.101.1 22 2528 0 2528 1708 32484 818 32484 0 0 0 1 1 1565674489514.742 1565674497159.3647 7644.623 31.398 69.746 7610.285 7609.774 31.063 62.106 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.328445000000002 30.537 74.327 2.8431319999999998 671.0 64.0 64.0 3.505495 0.004 46.227 7.854991 561.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11.0 1460.0 23168.0 16.0 64256.0 64128.0 0.0 626984.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 88.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 818.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
