#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46272 298448 0 298447 147 1158909838 298299 1164612120 1926 5702282 0 1 1 192.168.101.1 22 61776 0 61776 52938 325524 8836 325524 0 0 33 1 1 1565379792382.154 1565380123942.728 331560.574 32.458 71.199 331526.86 331523.58 32.169 62.884 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.731176 30.104 72.939 0.409277 41626.0 64.0 64.0 12.256272000000001 0.005 47.874 9.629843 8654.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 911.0 1460.0 23168.0 12.0 64256.0 64128.0 0.0 754408.0 16.0 32.0 126.0 382.0 0.0 0.0 1418.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2549.0 1460.0 1100.0 28.0 2652032.0 64128.0 0.0 1100.0 28.0 32.0 11.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 37.0 8803.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46658 309843 0 309842 168 1150509964 309673 1155722224 1712 5212260 0 1 1 192.168.101.1 22 56900 0 56900 48131 321924 8767 321924 0 0 45 1 1 1565380138072.6062 1565380471429.4507 333356.845 32.411 72.127 333322.78 333322.204 32.051 62.883 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.758443 30.163 78.063 0.44027799999999995 38955.0 64.0 64.0 13.63367 0.004 44.893 10.355585000000001 8554.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1161.0 1460.0 17376.0 12.0 64256.0 64128.0 0.0 548792.0 16.0 32.0 67.0 395.0 0.0 0.0 1250.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2297.0 1460.0 1100.0 28.0 1590912.0 64128.0 0.0 1100.0 28.0 32.0 19.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 33.0 8722.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47048 317388 0 317387 188 1179901445 317198 1185640972 1917 5739527 0 1 1 192.168.101.1 22 60775 0 60775 51771 329592 9002 329592 0 0 52 1 1 1565380485613.775 1565380832308.4087 346694.634 32.29 73.654 346660.242 346659.727 31.994 62.772 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.741807 30.152 74.487 0.49655299999999997 40686.0 64.0 64.0 13.388637 0.005 46.359 10.301768 8779.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1272.0 1460.0 17376.0 16.0 64256.0 64128.0 0.0 589336.0 16.0 32.0 66.0 428.0 0.0 0.0 1423.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2599.0 1460.0 1100.0 28.0 1763072.0 64128.0 0.0 1100.0 28.0 32.0 19.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 29.0 8950.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47444 298484 0 298483 339 1184105686 298143 1189305432 1683 5199746 0 1 1 192.168.101.1 22 55362 0 55362 46346 338808 9014 338808 0 0 48 1 1 1565380849687.361 1565381168398.5847 318711.224 32.268 71.23 318677.013 318676.443 31.96 62.699 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.772306 30.163 73.421 0.49311099999999997 36215.0 64.0 64.0 14.634948000000001 0.004 46.607 10.839075 8608.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1155.0 1460.0 17376.0 12.0 64256.0 64128.0 0.0 567616.0 16.0 32.0 110.0 370.0 0.0 0.0 1203.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2142.0 1460.0 3744.0 28.0 1368320.0 64128.0 0.0 3744.0 28.0 32.0 13.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 39.0 8966.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47802 271326 0 271325 209 1070728343 271115 1075752904 1581 5024561 0 1 1 192.168.101.1 22 51593 0 51593 43425 298056 8166 298056 0 0 43 1 1 1565381182371.8933 1565381474891.046 292519.153 32.949 71.762 292485.007 292484.468 32.591 63.46 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.735015 30.09 73.553 0.519967 33806.0 64.0 64.0 14.099855999999999 0.005 48.047 10.655136 7930.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 911.0 1460.0 13032.0 12.0 64256.0 64128.0 0.0 453224.0 16.0 32.0 138.0 380.0 0.0 0.0 1063.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2026.0 1460.0 1080.0 28.0 1191680.0 64128.0 0.0 1080.0 28.0 32.0 20.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8123.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48156 284310 0 284309 155 1095924684 284153 1100803904 1589 4879220 0 1 1 192.168.101.1 22 54945 0 54945 46581 306552 8362 306552 0 0 32 1 1 1565381488294.323 1565381794711.0427 306416.72 32.245 70.496 306380.883 306380.218 31.89 62.803 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.740623 30.078 76.135 0.43904 36818.0 64.0 64.0 12.934679 0.005 47.941 10.080627 8166.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1153.0 1460.0 14480.0 16.0 64256.0 64128.0 0.0 548792.0 16.0 32.0 74.0 348.0 0.0 0.0 1167.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2115.0 1460.0 1100.0 28.0 1587968.0 64128.0 0.0 1100.0 28.0 32.0 11.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8330.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48522 312153 0 312152 175 1154709956 311976 1160717708 1976 6007752 0 1 1 192.168.101.1 22 57783 0 57783 48979 323256 8802 323256 0 0 44 1 1 1565381808765.737 1565382148787.465 340021.728 32.555 73.265 339987.745 339987.128 32.243 63.083 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.748112 30.144 73.999 0.499093 38879.0 64.0 64.0 13.541735000000001 0.004 47.389 10.105511 8579.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1067.0 1460.0 26064.0 12.0 64256.0 64128.0 0.0 758752.0 16.0 32.0 47.0 384.0 0.0 0.0 1545.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2479.0 1460.0 1100.0 28.0 2653440.0 64128.0 0.0 1136.0 28.0 32.0 17.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 31.0 8758.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48918 300338 0 300337 196 1184106839 300140 1189555880 1767 5449041 0 1 1 192.168.101.1 22 60293 0 60293 51281 332796 9010 332796 0 0 45 1 1 1565382163637.77 1565382491233.6296 327595.86 32.673 72.06 327560.356 327559.626 32.386 63.348 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.717435 30.198 73.785 0.423868 40377.0 64.0 64.0 12.572616 0.004 43.404 10.254383 8781.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1166.0 1460.0 17376.0 12.0 64256.0 64128.0 0.0 554584.0 16.0 32.0 151.0 411.0 0.0 0.0 1205.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2320.0 1460.0 1100.0 28.0 1279232.0 64128.0 0.0 1136.0 28.0 32.0 15.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 57.0 8965.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49310 326352 0 326351 166 1247085189 326184 1252534200 1743 5449011 0 1 1 192.168.101.1 22 62164 0 62164 52650 348456 9512 348456 0 0 34 1 1 1565382506318.4062 1565382858991.547 352673.141 33.181 71.887 352637.702 352636.996 32.817 63.772 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.750219 30.149 78.309 0.5178050000000001 42121.0 64.0 64.0 12.736651 0.004 44.336 9.860412 9311.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 821.0 1460.0 15928.0 16.0 64256.0 64128.0 0.0 476392.0 16.0 32.0 90.0 441.0 0.0 0.0 1212.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2283.0 1460.0 1100.0 28.0 1291136.0 64128.0 0.0 1100.0 28.0 32.0 12.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 9478.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 49698 311809 0 311808 209 1171505316 311598 1177094464 1844 5589148 0 1 1 192.168.101.1 22 61661 0 61661 52732 328080 8927 328080 0 0 46 1 1 1565382873706.156 1565383207582.816 333876.66 32.522 71.679 333839.508 333838.866 32.234 63.167 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.726627 30.057 73.201 0.39652 41986.0 64.0 64.0 13.217716000000001 0.004 47.457 10.401178 8693.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1194.0 1460.0 14480.0 12.0 64256.0 64128.0 0.0 476392.0 16.0 32.0 130.0 438.0 0.0 0.0 1276.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2352.0 1460.0 1100.0 28.0 1233280.0 64128.0 0.0 1136.0 28.0 32.0 19.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 27.0 8881.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50064 331112 0 331111 138 1150507838 330972 1156807804 2172 6299966 0 1 1 192.168.101.1 22 63125 0 63125 54344 321168 8779 321756 1 588 49 1 1 1565383221499.01 1565383590434.3833 368935.373 32.382 71.895 368901.16 368900.394 32.111 62.78 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.716325 30.137 82.138 0.45970200000000006 43737.0 64.0 64.0 13.79434 0.004 43.759 10.474812 8591.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1375.0 1460.0 14480.0 12.0 64256.0 64128.0 0.0 483632.0 16.0 32.0 128.0 495.0 0.0 0.0 1549.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2834.0 1460.0 1100.0 28.0 1527040.0 64128.0 0.0 1100.0 28.0 32.0 25.0 24.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 30.0 8729.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50518 302319 0 302318 185 1125314762 302132 1131226876 1980 5912114 0 1 1 192.168.101.1 22 55567 0 55567 46970 314760 8595 314760 0 0 34 1 1 1565383603939.6853 1565383939871.03 335931.345 33.855 72.974 335895.674 335895.062 33.537 64.483 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.731908 30.106 73.039 0.47774700000000003 37147.0 64.0 64.0 14.236822 0.005 44.186 10.598236 8374.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 751.0 1460.0 17376.0 12.0 64256.0 64128.0 0.0 531416.0 16.0 32.0 165.0 387.0 0.0 0.0 1428.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2478.0 1460.0 1100.0 28.0 1877376.0 64128.0 0.0 1136.0 28.0 32.0 17.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 8561.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 50952 291730 0 291729 138 1095922848 291590 1101458552 1793 5535704 0 1 1 192.168.101.1 22 55476 0 55476 47119 306516 8355 306516 0 0 32 1 1 1565383954445.524 1565384267430.0542 312984.53 32.336 71.693 312950.772 312950.224 32.059 62.739 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.690525 30.112 71.619 0.42401099999999997 37060.0 64.0 64.0 13.822648999999998 0.004 45.416 10.537414 8183.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 675.0 1460.0 18824.0 16.0 64256.0 64128.0 0.0 612504.0 16.0 32.0 109.0 398.0 0.0 0.0 1286.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2269.0 1460.0 1100.0 28.0 2356608.0 64128.0 0.0 1136.0 28.0 32.0 14.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 8323.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51338 286531 0 286530 189 1095922018 286340 1101744428 1921 5822410 0 1 1 192.168.101.1 22 53672 0 53672 45307 307272 8363 307272 0 0 40 1 1 1565384280723.094 1565384593880.4373 313157.343 33.01 72.705 313123.001 313122.389 32.659 63.868 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.723696 30.138 72.277 0.42381899999999995 35806.0 64.0 64.0 13.759801999999999 0.004 42.208 10.320175 8126.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1007.0 1460.0 18824.0 16.0 64256.0 63360.0 0.0 605264.0 16.0 32.0 149.0 370.0 0.0 0.0 1402.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2207.0 1460.0 1152.0 28.0 1616128.0 64128.0 0.0 1152.0 28.0 32.0 19.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 8323.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 51724 298123 0 298122 176 1154710063 297945 1160572380 1827 5862317 0 1 1 192.168.101.1 22 54135 0 54135 45336 323472 8797 323472 0 0 40 1 1 1565384608152.828 1565384930531.446 322378.618 32.673 73.03 322344.433 322343.755 32.352 63.166 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.731939 30.128 73.899 0.418029 35981.0 64.0 64.0 13.487399 0.004 46.788 10.148603999999999 8581.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1122.0 1460.0 18824.0 12.0 64256.0 64128.0 0.0 631328.0 16.0 32.0 129.0 344.0 0.0 0.0 1354.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2245.0 1460.0 1100.0 28.0 1659136.0 64128.0 0.0 1100.0 28.0 32.0 14.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 8757.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52134 302461 0 302460 206 1091724475 302253 1097472460 2059 5747985 0 1 1 192.168.101.1 22 54919 0 54919 46587 306228 8330 306228 0 0 47 1 1 1565384944302.218 1565385284040.627 339738.409 32.292 71.472 339702.081 339701.514 31.993 62.977 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.716221 30.107 74.472 0.532459 37403.0 64.0 64.0 14.616064999999999 0.004 47.951 10.385276 8085.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1108.0 1460.0 17376.0 16.0 64256.0 64128.0 0.0 564720.0 16.0 32.0 184.0 394.0 0.0 0.0 1481.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2596.0 1460.0 1100.0 28.0 1780864.0 64128.0 0.0 1136.0 28.0 32.0 21.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 8283.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 52564 306620 0 306619 293 1209293827 306325 1215372464 2002 6078637 0 1 1 192.168.101.1 22 54771 0 54771 45541 337764 9228 337764 0 0 49 1 1 1565385301961.027 1565385638910.7 336949.673 32.456 71.285 336915.344 336914.592 32.195 63.131 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.740225 30.14 79.199 0.5139020000000001 35786.0 64.0 64.0 14.359039000000001 0.004 47.458 10.562507 8888.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1189.0 1460.0 14480.0 12.0 64256.0 64128.0 0.0 437296.0 16.0 32.0 181.0 404.0 0.0 0.0 1417.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2269.0 1460.0 1100.0 28.0 1126400.0 64128.0 0.0 1100.0 28.0 32.0 18.0 31.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 9179.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
