#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 39970 355181 0 355180 273 1108518753 354906 1120292444 4747 11773691 0 1 1 192.168.101.1 22 53531 0 53531 45058 309648 8471 309684 1 36 88 1 1 1565527113496.938 1565527579768.619 466271.681 32.404 71.225 466236.758 466236.281 32.139 63.281 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.746526 30.089 88.352 0.730395 35955.0 64.0 64.0 18.888716 0.003 44.502 11.170407 8179.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2272.0 1460.0 14480.0 12.0 64256.0 64128.0 0.0 457568.0 16.0 32.0 1237.0 507.0 0.0 0.0 3003.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4146.0 1460.0 1100.0 28.0 1673984.0 64128.0 0.0 1100.0 28.0 32.0 56.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 8382.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40716 374464 0 374463 322 1188298082 374140 1201091128 4896 12793046 0 1 1 192.168.101.1 22 44449 0 44449 35377 330996 9070 331032 1 36 80 1 1 1565527593908.5562 1565528067858.966 473950.41 32.322 70.947 473915.224 473914.48 31.968 62.869 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.873105 30.258 107.896 1.4498520000000001 28929.0 64.0 64.0 21.263243 0.003 44.716 10.564305000000001 8739.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1649.0 1460.0 17376.0 12.0 64256.0 64128.0 0.0 556032.0 16.0 32.0 1061.0 364.0 0.0 0.0 3469.0 0.0 2.0 0.0 0.0 1.0 1.0 7.0 1.0 3196.0 1460.0 1100.0 28.0 2200832.0 63360.0 0.0 1136.0 28.0 32.0 54.0 26.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 24.0 8989.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41484 361747 0 361746 260 1133712837 361485 1145450668 4416 11737831 0 1 1 192.168.101.1 22 43226 0 43226 34581 316380 8643 316380 0 0 80 1 1 1565528081763.6533 1565528537744.7717 455981.119 34.926 78.573 455947.248 455946.684 34.565 65.737 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.854025 30.175 138.28 1.7123270000000002 28384.0 64.0 64.0 21.691574 0.004 47.965 10.775727999999999 8380.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2117.0 1460.0 15928.0 12.0 64256.0 64128.0 0.0 516936.0 16.0 32.0 1033.0 361.0 0.0 0.0 3021.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 2999.0 1460.0 1100.0 28.0 2226048.0 64128.0 0.0 1136.0 28.0 32.0 55.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 8563.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42208 391980 0 391979 332 1234486115 391646 1247081108 4813 12594993 0 1 1 192.168.101.1 22 46579 0 46579 37159 344100 9418 344100 0 0 91 1 1 1565528553614.2207 1565529041329.386 487715.165 32.638 73.949 487680.852 487680.369 32.321 63.142 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.844359999999998 30.194 128.744 1.314761 30616.0 64.0 64.0 21.681198000000002 0.005 44.388 10.910323 9051.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2253.0 1460.0 13032.0 12.0 64256.0 64128.0 0.0 427160.0 16.0 32.0 916.0 399.0 0.0 0.0 3497.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 3262.0 1460.0 1100.0 28.0 1363840.0 64128.0 0.0 1100.0 28.0 32.0 62.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 9327.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 42978 332603 0 332602 300 1053931398 332301 1065694940 4415 11763542 0 1 1 192.168.101.1 22 39811 0 39811 31763 292836 8046 292836 0 0 79 1 1 1565529053658.3987 1565529477861.886 424203.487 32.504 79.754 424167.402 424166.351 32.15 63.027 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.844324 30.338 120.939 1.405849 25934.0 64.0 64.0 21.319834 0.005 44.218 11.004632 7737.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1901.0 1460.0 15928.0 12.0 64256.0 64128.0 0.0 506800.0 16.0 32.0 926.0 328.0 0.0 0.0 3159.0 0.0 2.0 0.0 0.0 1.0 1.0 7.0 1.0 2833.0 1460.0 1080.0 28.0 1375744.0 64128.0 0.0 1080.0 28.0 32.0 54.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 7967.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 43652 353375 0 353374 298 1142110052 353075 1153268172 4286 11158120 0 1 1 192.168.101.1 22 44343 0 44343 35624 318324 8717 318324 0 0 85 1 1 1565529491945.213 1565529926207.0847 434261.872 33.271 73.526 434222.669 434222.196 32.982 63.989 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.870918 30.305 126.782 1.4231690000000001 29215.0 64.0 64.0 20.714181 0.005 46.449 10.810872 8411.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1821.0 1460.0 15928.0 12.0 64256.0 64128.0 0.0 487976.0 16.0 32.0 847.0 444.0 0.0 0.0 2990.0 0.0 5.0 0.0 0.0 1.0 1.0 7.0 1.0 3102.0 1460.0 1100.0 28.0 1415808.0 64128.0 0.0 1136.0 28.0 32.0 56.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 8632.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 44374 340381 0 340379 267 1074927565 340111 1085933612 4171 11006048 0 2 1 192.168.101.1 22 40965 0 40965 32759 300108 8204 300144 1 36 75 1 1 1565529939106.322 1565530363619.8757 424513.554 1046.386 1084.519 424477.847 424477.341 1046.078 1076.921 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.874415000000003 30.283 91.43 1.467373 27010.0 64.0 64.0 21.076273999999998 0.006 45.158 11.021621000000001 7934.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2019.0 1460.0 20272.0 12.0 64256.0 64128.0 0.0 661156.0 16.0 32.0 838.0 361.0 0.0 0.0 2970.0 0.0 2.0 0.0 0.0 1.0 1.0 7.0 1.0 2735.0 1460.0 1100.0 28.0 1988608.0 64128.0 0.0 1136.0 28.0 32.0 59.0 17.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 8128.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45048 365703 0 365702 239 1112717665 365462 1124884720 4723 12167055 0 1 1 192.168.101.1 22 46635 0 46635 38137 310692 8496 310692 0 0 90 1 1 1565530377050.388 1565530846997.802 469947.414 32.69 71.964 469910.866 469910.304 32.364 63.168 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.820479 30.15 129.311 1.36305 31125.0 64.0 64.0 21.343256 0.005 44.589 10.770969000000001 8232.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1803.0 1460.0 15928.0 12.0 64256.0 64128.0 0.0 538656.0 16.0 32.0 980.0 505.0 0.0 0.0 3237.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 3527.0 1460.0 1100.0 28.0 1727488.0 64128.0 0.0 1100.0 28.0 32.0 67.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 8406.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 45798 350983 0 350982 290 1100120932 350691 1111667220 4401 11546288 0 1 1 192.168.101.1 22 45244 0 45244 36845 308352 8397 308388 1 36 89 1 1 1565530860278.047 1565531308001.975 447723.928 32.922 73.985 447689.373 447688.774 32.622 63.515 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.829633 30.193 92.92 1.131791 30013.0 64.0 64.0 20.989016 0.005 47.679 11.138269000000001 8069.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2041.0 1460.0 17376.0 12.0 64256.0 64000.0 0.0 543000.0 16.0 32.0 974.0 388.0 0.0 0.0 3036.0 0.0 3.0 0.0 0.0 1.0 1.0 7.0 1.0 3229.0 1460.0 1296.0 28.0 1789824.0 64128.0 0.0 1296.0 28.0 32.0 63.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 24.0 8307.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46518 346064 0 346063 274 1091723105 345788 1103043008 4298 11319903 0 1 1 192.168.101.1 22 44803 0 44803 36460 305112 8341 305112 0 0 71 1 1 1565531321643.626 1565531753032.9868 431389.361 32.615 71.897 431351.445 431350.956 32.205 63.23 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.832086999999998 30.31 91.003 1.180146 29778.0 64.0 64.0 20.461006 0.004 44.65 10.934047999999999 8067.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1419.0 1460.0 14480.0 16.0 64256.0 64128.0 0.0 441640.0 16.0 32.0 930.0 425.0 0.0 0.0 2942.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 3171.0 1460.0 1100.0 28.0 1258496.0 64128.0 0.0 1100.0 28.0 32.0 48.0 23.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 8270.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
