#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 54808 32487 0 32486 30 104977287 32455 105987992 372 1010705 0 1 1 192.168.101.1 22 4461 0 4461 3640 32484 819 32484 0 0 7 1 1 1565482822149.047 1565482861678.5437 39529.497 31.127 69.551 39495.797 39495.244 30.821 61.609 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.805409 30.352 71.973 1.321682 2952.0 64.0 64.0 21.259397 0.008 45.076 11.009796000000001 791.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 161.0 1460.0 11584.0 16.0 64256.0 64128.0 0.0 360552.0 16.0 32.0 38.0 44.0 0.0 0.0 290.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 313.0 1460.0 1080.0 28.0 955776.0 64128.0 0.0 1080.0 28.0 32.0 5.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 812.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 54882 31929 0 31928 50 113376120 31877 114118404 262 742284 0 1 1 192.168.101.1 22 4058 0 4058 3185 35256 871 35256 0 0 8 1 1 1565482862882.154 1565482900575.203 37693.049 31.046 69.735 37659.137 37658.549 30.747 61.504 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.852625 30.376 74.722 1.44407 2655.0 64.0 64.0 17.943644 0.007 45.729 11.287837 823.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 227.0 1460.0 10136.0 12.0 64256.0 64128.0 0.0 350784.0 16.0 32.0 20.0 22.0 0.0 0.0 220.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 210.0 1460.0 1080.0 28.0 1211008.0 64128.0 0.0 1080.0 28.0 32.0 4.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 863.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 54932 30012 0 30011 20 92380541 29990 93599760 492 1219219 0 1 1 192.168.101.1 22 4499 0 4499 3778 28920 719 28920 0 0 4 1 1 1565482901564.9563 1565482942788.2578 41223.302 31.144 69.221 41189.939 41189.458 30.802 61.604 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.859709999999996 30.398 75.858 1.359069 2995.0 64.0 64.0 18.672946 0.009 45.05 11.58468 705.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 42.0 1460.0 8688.0 16.0 64256.0 64128.0 0.0 308424.0 16.0 32.0 161.0 52.0 0.0 0.0 279.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 358.0 1460.0 1080.0 28.0 921600.0 61312.0 0.0 1080.0 28.0 32.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 13.0 715.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55006 39562 0 39561 30 125971848 39530 127173688 510 1201840 0 1 1 192.168.101.1 22 5946 0 5946 4970 38136 974 38136 0 0 6 1 1 1565482944308.802 1565482997081.309 52772.507 31.238 69.668 52737.746 52737.133 30.87 61.64 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.85985 30.352 71.998 1.301531 3992.0 64.0 64.0 18.359887 0.008 45.595 10.797062 947.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 149.0 1460.0 13032.0 12.0 64256.0 64128.0 0.0 444536.0 16.0 32.0 157.0 49.0 0.0 0.0 304.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 425.0 1460.0 1080.0 28.0 1329664.0 64128.0 0.0 1080.0 28.0 32.0 4.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 968.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55096 41481 0 41480 27 121772936 41452 123017996 473 1245060 0 1 1 192.168.101.1 22 5588 0 5588 4643 37308 943 37308 0 0 10 1 1 1565482998473.3562 1565483054716.257 56242.901 31.15 69.282 56209.128 56208.628 30.839 61.717 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.80623 30.348 74.371 1.178691 3847.0 64.0 64.0 20.240208 0.004 44.189 10.501138000000001 915.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 325.0 1460.0 8688.0 16.0 64256.0 64128.0 0.0 295392.0 16.0 32.0 75.0 58.0 0.0 0.0 340.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 403.0 1460.0 1080.0 28.0 841472.0 64128.0 0.0 1080.0 28.0 32.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 933.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55178 38728 0 38727 26 117574024 38700 118774368 472 1200344 0 1 1 192.168.101.1 22 4909 0 4909 3995 35904 912 35904 0 0 8 1 1 1565483056366.7139 1565483107348.885 50982.171 30.965 69.818 50947.481 50946.884 30.597 61.468 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.851349 30.336 81.926 1.5840379999999998 3358.0 64.0 64.0 19.84522 0.005 44.933 11.048785 891.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 140.0 1460.0 11584.0 16.0 64256.0 64128.0 0.0 395304.0 16.0 32.0 101.0 48.0 0.0 0.0 321.0 0.0 2.0 0.0 0.0 1.0 1.0 7.0 1.0 324.0 1460.0 1080.0 28.0 1433600.0 64128.0 0.0 1080.0 28.0 32.0 6.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 904.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55272 29765 0 29764 40 96579456 29723 97282180 258 702724 0 1 1 192.168.101.1 22 3833 0 3833 3078 30144 753 31224 1 1080 8 1 1 1565483108489.0117 1565483144399.077 35910.065 31.069 69.729 35876.114 35875.487 30.695 62.038 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.884213 30.303 73.857 1.6567310000000002 2580.0 64.0 64.0 18.267601000000003 0.007 44.82 12.073105 713.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 182.0 1460.0 7240.0 12.0 64256.0 64128.0 0.0 298288.0 16.0 32.0 28.0 26.0 0.0 0.0 204.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 191.0 1460.0 1080.0 28.0 788096.0 57344.0 0.0 1080.0 28.0 32.0 5.0 3.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 --- 23.0 744.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55326 29798 0 29797 24 88181632 29772 89088080 355 906448 0 1 1 192.168.101.1 22 3801 0 3801 3112 27768 687 27768 0 0 6 1 1 1565483145373.536 1565483185781.25 40407.714 31.483 69.737 40372.97 40372.45 31.086 61.969 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.854177000000004 30.413 77.902 1.742529 2552.0 64.0 64.0 22.063164 0.007 45.323 10.847056 670.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 143.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 324352.0 16.0 32.0 37.0 39.0 0.0 0.0 278.0 0.0 1.0 0.0 0.0 1.0 1.0 7.0 1.0 309.0 1460.0 1080.0 28.0 939392.0 64128.0 0.0 1080.0 28.0 32.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 681.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55382 29592 0 29591 25 92380544 29565 93159568 297 779024 0 1 1 192.168.101.1 22 3839 0 3839 3118 28920 719 28920 0 0 4 1 1 1565483186781.6853 1565483226118.292 39336.607 31.309 70.222 39302.719 39302.144 30.919 62.044 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.837832000000002 30.169 74.163 1.6814490000000002 2510.0 64.0 64.0 21.818334 0.009 45.919 11.653074 706.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 109.0 1460.0 11584.0 16.0 64256.0 64128.0 0.0 388064.0 16.0 32.0 63.0 45.0 0.0 0.0 189.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 257.0 1460.0 1080.0 28.0 1018496.0 64128.0 0.0 1080.0 28.0 32.0 1.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 715.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55450 29506 0 29505 20 88181632 29484 89009888 321 828256 0 1 1 192.168.101.1 22 3768 0 3768 3079 27768 687 27768 0 0 3 1 1 1565483227019.1973 1565483263474.0647 36454.868 31.297 69.975 36420.358 36419.786 30.976 62.06 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.880924 30.356 104.272 2.249146 2525.0 64.0 64.0 21.155391 0.009 47.983 11.008594 677.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 51.0 1460.0 13032.0 16.0 64256.0 64128.0 0.0 425712.0 16.0 32.0 56.0 40.0 0.0 0.0 225.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 260.0 1460.0 1080.0 28.0 1616128.0 59264.0 0.0 1080.0 28.0 32.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 684.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55500 29049 0 29048 24 88181632 29023 89322620 458 1140988 0 1 1 192.168.101.1 22 3569 0 3569 2878 27840 689 27840 0 0 3 1 1 1565483264362.539 1565483303468.3467 39105.808 30.618 68.998 39070.426 39069.824 30.325 60.72 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.897865999999997 30.102 73.762 1.727248 2351.0 64.0 64.0 22.123409 0.005 44.63 10.624889 672.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 81.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 337384.0 16.0 32.0 85.0 30.0 0.0 0.0 343.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 295.0 1460.0 1080.0 28.0 967680.0 64128.0 0.0 1080.0 28.0 32.0 2.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 686.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55574 25457 0 25456 35 83982720 25420 84803544 304 820824 0 1 1 192.168.101.1 22 3498 0 3498 2839 26688 657 26688 0 0 8 1 1 1565483304413.5327 1565483339688.6243 35275.091 31.156 69.744 35240.872 35240.311 30.797 61.453 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.939101 30.297 85.765 2.25274 2337.0 64.0 64.0 19.753812 0.007 44.833 11.194251 623.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 184.0 1460.0 11584.0 16.0 64256.0 64128.0 0.0 370688.0 16.0 32.0 89.0 23.0 0.0 0.0 192.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 243.0 1460.0 1080.0 28.0 893440.0 64128.0 0.0 1080.0 28.0 32.0 6.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 649.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55626 35327 0 35326 40 109176200 35285 110564832 531 1388632 0 1 1 192.168.101.1 22 4359 0 4359 3510 33528 847 33528 0 0 9 1 1 1565483341001.2527 1565483387279.2168 46277.964 31.237 68.989 46243.947 46243.283 30.937 61.834 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.861687 30.323 73.667 1.639604 2865.0 64.0 64.0 21.165848999999998 0.01 44.997 11.361632 810.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 129.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 356208.0 16.0 32.0 98.0 28.0 0.0 0.0 405.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 294.0 1460.0 1080.0 28.0 1047808.0 64128.0 0.0 1080.0 28.0 32.0 8.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 838.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55704 37888 0 37887 28 109176200 37858 110550352 554 1374152 0 1 1 192.168.101.1 22 4717 0 4717 3867 33672 848 33672 0 0 6 1 1 1565483388584.9087 1565483440174.824 51589.915 30.815 317.512 51556.061 51555.47 30.521 61.046 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.872436999999998 30.231 85.616 1.796259 3120.0 64.0 64.0 21.94236 0.008 44.091 10.743111 827.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 137.0 1460.0 8688.0 12.0 64256.0 63872.0 0.0 283808.0 16.0 32.0 129.0 47.0 0.0 0.0 378.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 356.0 1460.0 1080.0 28.0 752512.0 64128.0 0.0 1112.0 28.0 1112.0 4.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 22.0 842.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55798 38158 0 38157 40 113375112 38116 114962120 618 1587008 0 1 1 192.168.101.1 22 5061 0 5061 4185 34680 874 34680 0 0 9 1 1 1565483441608.7617 1565483496467.026 54858.264 31.292 70.391 54824.258 54823.641 30.995 61.854 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.869945 30.316 93.648 1.7001060000000001 3410.0 64.0 64.0 20.884016 0.008 47.598 11.555629 847.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 496.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 354760.0 16.0 32.0 145.0 41.0 0.0 0.0 432.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 379.0 1460.0 1080.0 28.0 1016576.0 64128.0 0.0 1080.0 28.0 32.0 4.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 865.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55874 25711 0 25710 22 83982720 25687 84289696 110 306976 0 1 1 192.168.101.1 22 3767 0 3767 3109 26760 656 26760 0 0 6 1 1 1565483497340.2498 1565483527387.628 30047.378 36.813 70.726 30013.687 30013.083 31.129 67.55 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.869929 30.376 74.383 1.4492610000000001 2640.0 64.0 64.0 18.374883999999998 0.009 47.47 10.871651 636.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 95.0 1460.0 11584.0 12.0 64256.0 64128.0 0.0 320008.0 16.0 32.0 0.0 21.0 0.0 0.0 89.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 161.0 1460.0 1080.0 28.0 1006208.0 48256.0 0.0 1080.0 28.0 32.0 2.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 650.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55922 28187 0 28186 27 92380544 28158 93182736 290 802192 0 1 1 192.168.101.1 22 3866 0 3866 3145 28920 719 28920 0 0 7 1 1 1565483528398.3645 1565483562981.675 34583.31 31.052 69.495 34548.983 34548.46 30.674 61.475 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.888384000000002 30.235 89.475 1.8190419999999998 2620.0 64.0 64.0 17.095160999999997 0.007 45.209 11.069349 696.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 150.0 1460.0 10136.0 16.0 64256.0 64128.0 0.0 328696.0 16.0 32.0 38.0 32.0 0.0 0.0 220.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 231.0 1460.0 1080.0 28.0 896384.0 64128.0 0.0 1080.0 28.0 32.0 4.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 712.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 55994 25090 0 25089 46 83982719 25042 84719608 281 736889 0 1 1 192.168.101.1 22 3086 0 3086 2429 26616 655 26616 0 0 8 1 1 1565483564338.2727 1565483595380.589 31042.316 30.837 69.289 31008.762 31008.184 30.552 61.317 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.983528999999997 30.402 75.972 2.226651 1886.0 64.0 64.0 22.722894 0.008 45.049 11.67878 615.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 147.0 1460.0 11584.0 16.0 64256.0 64128.0 0.0 375032.0 16.0 32.0 44.0 31.0 0.0 0.0 206.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 200.0 1460.0 1080.0 28.0 1380224.0 64128.0 0.0 1080.0 28.0 32.0 6.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 647.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
