#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 40090 49526 0 49525 131 1063491267 49393 1063491268 1 1 0 1 1 192.168.101.1 22 97501 0 97501 88244 337620 9255 337620 0 0 0 1 1 1565245694997.581 1565245784189.064 89191.483 32.27 71.56 89157.563 89156.436 31.964 62.918 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.352930999999998 30.067 74.416 0.675922 12842.0 64.0 64.0 4.951822 0.007 44.534 1.76565 9125.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 706624.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 31.0 9255.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40196 57431 0 57430 281 1223226633 57148 1223226636 1 3 0 1 1 192.168.101.1 22 110879 0 110879 100244 395292 10633 395292 0 0 0 1 1 1565245801725.755 1565245905424.702 103698.947 32.333 70.695 103664.369 103663.211 31.985 62.896 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.362834999999997 30.028 74.331 0.691198 12564.0 64.0 64.0 4.6677480000000005 0.005 45.468 2.155544 10331.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 62848.0 0.0 706624.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 3060.0 28.0 3145728.0 64128.0 0.0 3060.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 10633.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40320 58224 0 58223 235 1248447753 57987 1248447756 1 3 0 1 1 192.168.101.1 22 114530 0 114530 103664 403284 10864 403284 0 0 0 1 1 1565245922886.674 1565246027561.2122 104674.538 32.572 72.436 104640.707 104639.679 32.268 63.118 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.361172999999997 29.997 72.915 0.683447 12263.0 64.0 64.0 4.7711 0.004 46.861 1.914614 10606.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 27512.0 16.0 64256.0 64128.0 0.0 715312.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 3060.0 28.0 3145728.0 64128.0 0.0 3060.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 10864.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40454 51888 0 51887 136 1113933673 51750 1113933676 1 3 0 1 1 192.168.101.1 22 102074 0 102074 92379 354828 9693 354828 0 0 0 1 1 1565246043664.7002 1565246137120.035 93455.335 34.443 73.219 93410.24 93409.65 34.135 65.022 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.376115999999996 30.097 78.039 0.700917 12761.0 64.0 64.0 4.456563 0.005 45.7 1.617748 9562.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64000.0 0.0 705176.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3089792.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 9693.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40582 52818 0 52817 217 1126545710 52599 1126545712 1 2 0 1 1 192.168.101.1 22 102216 0 102216 92419 359148 9795 359148 0 0 0 1 1 1565246154029.419 1565246249284.9243 95255.505 32.232 72.429 95221.658 95221.04 31.933 62.92 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.373078999999997 30.061 74.666 0.707041 12678.0 64.0 64.0 4.730037 0.007 46.532 1.911196 9576.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64000.0 0.0 705176.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 91.0 9795.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40706 55255 0 55254 120 1185394955 55133 1185394956 1 1 0 1 1 192.168.101.1 22 107311 0 107311 96997 377292 10312 377292 0 0 0 1 1 1565246266396.426 1565246365847.854 99451.428 32.589 71.361 99418.028 99417.394 32.294 63.141 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.335383 29.999 72.664 0.622738 14049.0 64.0 64.0 4.641918 0.007 47.21 1.6999060000000001 10193.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 705176.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 101.0 10312.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40830 49679 0 49678 184 1063491375 49493 1063491376 1 1 0 1 1 192.168.101.1 22 97552 0 97552 88297 337548 9253 337548 0 0 0 1 1 1565246381169.704 1565246470663.853 89494.149 32.437 70.856 89460.731 89460.18 32.14 62.926 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.375135999999998 30.017 72.239 0.711325 10866.0 64.0 64.0 4.728511 0.007 45.49 1.836974 9071.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 706624.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 32.0 9253.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 40950 55647 0 55646 114 1198005658 55531 1198005660 1 2 0 1 1 192.168.101.1 22 116432 0 116432 106006 381324 10424 381324 0 0 0 1 1 1565246487785.545 1565246588240.353 100454.808 32.531 70.991 100417.562 100416.924 32.262 63.197 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.358252 30.013 72.273 0.722985 10531.0 64.0 64.0 4.8347809999999996 0.003 44.686 1.539557 10310.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 712416.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1100.0 28.0 3135744.0 48256.0 0.0 1136.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 121.0 10424.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41074 53155 0 53154 248 1139156127 52905 1139156128 1 1 0 1 1 192.168.101.1 22 104952 0 104952 95010 367428 9940 367428 0 0 0 1 1 1565246605214.888 1565246701021.1238 95806.236 33.099 72.578 95771.913 95771.128 32.716 63.852 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.372349 30.084 73.54 0.744939 10427.0 64.0 64.0 4.950243 0.004 44.345 2.067543 9672.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64000.0 0.0 709520.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 3132.0 28.0 3145728.0 64128.0 0.0 3132.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 75.0 9940.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41194 57835 0 57834 199 1235836908 57634 1235836908 0 0 0 1 1 192.168.101.1 22 112590 0 112590 101845 397092 10743 397092 0 0 0 1 1 1565246719868.588 1565246824632.9487 104764.361 32.35 78.453 104730.605 104729.948 32.004 62.916 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.370672999999996 30.031 73.993 0.686268 12552.0 64.0 64.0 4.405012 0.004 44.631 1.874407 10543.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 708072.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 3816.0 28.0 3145728.0 64128.0 0.0 3816.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 126.0 10743.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41340 53161 0 53160 176 1139156305 52983 1139156308 1 3 0 1 1 192.168.101.1 22 103657 0 103657 93749 366312 9906 366312 0 0 0 1 1 1565246842593.098 1565246938134.9707 95541.873 32.507 72.139 95506.881 95505.359 32.142 63.219 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.363409000000004 30.07 74.492 0.6906180000000001 12006.0 64.0 64.0 4.765922 0.007 47.915 1.853044 9730.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 715312.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 3384.0 28.0 3145728.0 64128.0 0.0 3384.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 82.0 9906.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 41462 54505 0 54504 253 1168579506 54250 1168579508 1 2 0 1 1 192.168.101.1 22 105639 0 105639 95476 374736 10161 374736 0 0 0 1 1 1565246955541.036 1565247054364.557 98823.521 32.147 70.743 98789.478 98788.967 31.861 62.656 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.360156 30.081 73.423 0.683476 12635.0 64.0 64.0 4.44156 0.005 47.167 1.8072290000000002 9909.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 26064.0 16.0 64256.0 64128.0 0.0 708072.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 2808.0 28.0 3145728.0 64128.0 0.0 2808.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 113.0 10161.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
