#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 58896 4830 0 4829 249 105088672 4579 105088672 0 0 0 1 1 192.168.101.1 22 2800 0 2800 1873 36336 925 36336 0 0 0 1 1 1565239489774.635 1565239494773.3247 4998.69 30.954 69.074 4963.556 4962.877 30.649 61.69 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.949661 30.138 71.758 2.658659 749.0 64.0 64.0 1.788707 0.006 45.686 5.066472 676.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 986088.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 34.0 925.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58908 4142 0 4141 146 96681768 3994 96681768 0 0 0 1 1 192.168.101.1 22 2960 0 2960 2105 33744 853 33744 0 0 0 1 1 1565239495686.45 1565239500320.17 4633.72 30.898 71.33 4598.816 4598.139 30.602 61.59 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.780541999999997 30.125 73.189 2.24357 1046.0 64.0 64.0 1.343861 0.003 44.87 4.146917 708.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 973056.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 853.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58910 5246 0 5245 290 126106416 4954 126106416 0 0 0 1 1 192.168.101.1 22 3291 0 3291 2180 42996 1109 42996 0 0 0 1 1 1565239501381.07 1565239507068.147 5687.077 31.235 70.229 5652.456 5651.984 30.924 61.903 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.126243 30.145 75.48 2.671536 782.0 64.0 64.0 1.8379919999999998 0.005 46.145 5.476589 811.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 1015048.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 20.0 1109.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58924 4721 0 4720 322 109292120 4397 109292120 0 0 0 1 1 192.168.101.1 22 2512 0 2512 1549 37632 961 37632 0 0 0 1 1 1565239508047.4937 1565239513276.2908 5228.797 31.115 71.116 5193.886 5193.353 30.767 61.751 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.630142 30.183 74.271 3.538266 441.0 64.0 64.0 2.419403 0.005 46.189 6.74459 642.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 991880.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 961.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58936 4312 0 4311 164 100885185 4146 100885188 1 3 0 1 1 192.168.101.1 22 3155 0 3155 2265 35004 888 35004 0 0 0 1 1 1565239514226.172 1565239519012.006 4785.834 31.16 69.294 4752.314 4751.692 30.798 61.745 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.624554999999997 30.074 71.426 2.121531 1138.0 64.0 64.0 1.3510149999999999 0.007 45.213 4.085357 721.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 978848.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 16.0 888.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58940 4677 0 4676 135 113495782 4540 113495784 1 2 0 1 1 192.168.101.1 22 4082 0 4082 3079 39072 1001 39072 0 0 0 1 1 1565239520007.7368 1565239525175.3958 5167.659 31.132 71.534 5133.309 5132.759 30.777 61.642 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.576518 30.025 74.451 2.0268509999999997 1327.0 64.0 64.0 1.156336 0.004 45.82 3.784755 854.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 997672.0 16.0 32.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 1001.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58944 4351 0 4350 176 96680904 4173 96680904 0 0 0 1 1 192.168.101.1 22 3010 0 3010 2157 33672 851 33672 0 0 0 1 1 1565239525924.157 1565239530607.671 4683.514 30.928 69.091 4649.693 4649.06 30.653 61.456 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.855175 30.024 73.468 2.5417669999999997 834.0 64.0 64.0 1.9406009999999998 0.005 46.248 5.455998999999999 657.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 973056.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 37.0 851.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58960 5232 0 5231 324 121902716 4906 121902716 0 0 0 1 1 192.168.101.1 22 3069 0 3069 1996 41592 1071 41592 0 0 0 1 1 1565239531668.7427 1565239537214.0442 5545.301 31.124 69.27 5510.817 5510.335 30.786 61.637 1.0 1.0 0.0 0.0 0.0 0.0 0.0 31.325365 30.201 74.338 2.971429 635.0 64.0 64.0 2.091114 0.007 46.976 5.9054910000000005 746.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 1010704.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3143680.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 23.0 1071.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58970 3859 0 3858 133 88274728 3724 88274728 0 0 0 1 1 192.168.101.1 22 2921 0 2921 2140 31116 779 31116 0 0 0 1 1 1565239537981.601 1565239542360.6462 4379.045 31.155 69.314 4344.164 4343.696 30.838 61.897 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.632577 30.021 71.933 2.164214 1096.0 64.0 64.0 1.1186040000000002 0.004 47.142 4.145105 646.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 36200.0 16.0 64256.0 64128.0 0.0 960024.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 779.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 58972 4754 0 4753 126 109292192 4626 109292192 0 0 0 1 1 192.168.101.1 22 4525 0 4525 3561 37776 962 37776 0 0 0 1 1 1565239543169.0 1565239548264.9128 5095.913 31.057 73.198 5061.137 5060.534 30.781 61.715 1.0 1.0 0.0 0.0 0.0 0.0 0.0 30.467037 30.021 74.751 1.929488 1527.0 64.0 64.0 1.174763 0.006 47.973 3.9290199999999995 836.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 37648.0 16.0 64256.0 64128.0 0.0 991880.0 16.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 0.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 962.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
