#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 46152 97617 0 97616 1613 1197969119 96002 1197989332 7 20213 0 1 1 192.168.101.1 22 128483 0 128483 118077 379920 10404 379956 1 36 548 1 1 1565769554630.525 1565769658236.1902 103605.665 53.138 112.87 103546.19 103545.96 52.775 104.05 1.0 1.0 0.0 0.0 0.0 0.0 0.0 48.260781 30.539 93.926 4.307696 15848.0 64.0 64.0 2.677033 0.004 43.747 3.1763779999999997 8783.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3380.0 1460.0 23168.0 12.0 64256.0 64000.0 0.0 1432568.0 16.0 32.0 0.0 0.0 0.0 0.0 7.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 75771.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 4.0 536.0 8.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 75.0 9855.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46358 92738 0 92737 1498 1164350677 91238 1164356472 4 5795 0 1 1 192.168.101.1 22 131480 0 131480 121354 369516 10124 369552 1 36 506 1 1 1565769673626.601 1565769773047.6282 99421.027 52.486 118.125 99360.325 99360.107 52.197 103.142 1.0 1.0 0.0 0.0 0.0 0.0 0.0 48.138709000000006 30.56 91.565 4.328785 15606.0 64.0 64.0 2.694451 0.005 41.158 3.127709 8614.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3097.0 1460.0 21720.0 12.0 64256.0 64128.0 0.0 1308704.0 16.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 74167.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1100.0 28.0 32.0 0.0 495.0 9.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 14.0 9617.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46548 81420 0 81419 1342 1055086709 80076 1055096848 5 10139 0 1 1 192.168.101.1 22 140780 0 140780 131592 335136 9186 335208 1 72 499 1 1 1565769787523.007 1565769876507.896 88984.889 42.395 92.193 88927.808 88927.605 42.112 92.193 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.798465 30.703 94.413 4.387389 14742.0 64.0 64.0 2.5060119999999997 0.004 41.519 2.413036 7895.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2254.0 1460.0 23168.0 12.0 64256.0 64128.0 0.0 1374052.0 16.0 32.0 0.0 2.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 81640.0 1460.0 1080.0 28.0 3145728.0 56064.0 0.0 1080.0 28.0 32.0 0.0 495.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 33.0 8686.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46734 80755 0 80754 1384 1063493751 79369 1063509680 6 15929 0 1 1 192.168.101.1 22 140315 0 140315 131048 337404 9265 337620 1 216 525 1 1 1565769891970.433 1565769982821.55 90851.117 53.106 102.447 90793.825 90793.615 52.786 94.054 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.744974 30.64 92.483 4.410269 14874.0 64.0 64.0 2.871959 0.004 43.091 2.755321 7956.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2074.0 1460.0 21720.0 12.0 64256.0 64000.0 0.0 1350220.0 16.0 32.0 0.0 3.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 79562.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 6.0 509.0 10.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 56.0 8739.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 46924 93360 0 93359 1462 1067668470 91896 1067687296 8 18826 0 1 1 192.168.101.1 22 99360 0 99360 90071 338340 9287 338376 1 36 469 1 1 1565769998573.8047 1565770095485.8362 96912.031 52.054 110.675 96855.268 96855.019 51.71 102.741 1.0 1.0 0.0 0.0 0.0 0.0 0.0 48.508503000000005 30.754 92.626 4.195819 14303.0 64.0 64.0 2.812082 0.004 43.417 4.081544999999999 7794.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3697.0 1460.0 24616.0 12.0 64256.0 64128.0 0.0 1358224.0 16.0 32.0 0.0 2.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 52684.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 456.0 13.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 37.0 8817.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47116 100452 0 100451 1705 1261030271 98745 1261067920 9 37649 0 1 1 192.168.101.1 22 136532 0 136532 125588 400620 10942 400656 1 36 573 1 1 1565770113188.191 1565770220812.792 107624.601 53.388 113.116 107567.605 107567.321 52.977 104.27 1.0 1.0 0.0 0.0 0.0 0.0 0.0 48.162834000000004 30.497 93.411 4.285019 16978.0 64.0 64.0 2.654544 0.006 42.612 3.262515 9247.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 3703.0 1460.0 24616.0 12.0 64256.0 64000.0 0.0 1342428.0 16.0 32.0 0.0 6.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 77295.0 1460.0 1100.0 28.0 3145728.0 61824.0 0.0 1136.0 28.0 32.0 0.0 563.0 10.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 108.0 10368.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47316 97768 0 97767 1786 1219025312 95980 1219041240 4 15928 0 1 1 192.168.101.1 22 120756 0 120756 110144 387768 10610 387840 1 72 629 1 1 1565770238037.2197 1565770341901.89 103864.67 52.513 101.274 103805.599 103805.43 52.169 93.072 1.0 1.0 0.0 0.0 0.0 0.0 0.0 48.34391 30.606 93.921 4.2726 15492.0 64.0 64.0 2.609412 0.004 44.026 3.51232 8807.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4367.0 1460.0 27512.0 12.0 64256.0 64000.0 0.0 1340308.0 16.0 32.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 66277.0 1460.0 1100.0 28.0 3145728.0 64128.0 0.0 1136.0 28.0 32.0 0.0 612.0 17.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 94.0 9980.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47534 102010 0 102009 1779 1219025309 100229 1219047032 9 21723 0 1 1 192.168.101.1 22 113238 0 113238 102619 392304 10617 392412 1 108 575 1 1 1565770359488.493 1565770465563.745 106075.252 52.357 110.943 106019.946 106019.661 52.026 103.102 1.0 1.0 0.0 0.0 0.0 0.0 0.0 48.419945 30.581 93.255 4.196038 17174.0 64.0 64.0 2.5034669999999997 0.002 43.484 3.6258449999999995 8785.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 4124.0 1460.0 23168.0 12.0 64256.0 63872.0 0.0 1381488.0 16.0 32.0 0.0 1.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 63834.0 1460.0 2844.0 28.0 3145728.0 64128.0 0.0 2844.0 28.0 32.0 7.0 552.0 16.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 45.0 10041.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47734 84638 0 84637 1474 1067697055 83162 1067710088 4 13033 0 1 1 192.168.101.1 22 130234 0 130234 120930 338700 9302 338772 1 72 541 1 1 1565770481413.581 1565770573053.96 91640.379 52.642 111.302 91584.065 91583.873 52.323 103.272 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.822058 30.381 91.478 4.420482 14341.0 64.0 64.0 2.61199 0.003 41.728 2.795578 7856.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2710.0 1460.0 23168.0 12.0 64256.0 64000.0 0.0 1375216.0 16.0 32.0 0.0 1.0 0.0 0.0 3.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 73562.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 527.0 14.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 39.0 8760.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 47922 87374 0 87373 1463 1139158429 85909 1139183048 8 24619 0 1 1 192.168.101.1 22 151125 0 151125 141203 365808 9920 365916 1 108 559 1 1 1565770589820.519 1565770687610.17 97789.651 52.615 111.358 97744.852 97744.683 52.302 103.248 1.0 1.0 0.0 0.0 0.0 0.0 0.0 47.696607 30.514 93.314 4.434581 15240.0 64.0 64.0 2.780246 0.003 42.426 2.603793 8473.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 2401.0 1460.0 21720.0 12.0 64256.0 64000.0 0.0 1327280.0 16.0 32.0 0.0 2.0 0.0 0.0 6.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 86874.0 1460.0 2952.0 28.0 3145728.0 64128.0 0.0 2952.0 28.0 32.0 0.0 552.0 7.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 35.0 9360.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
