#15#c_ip:1 c_port:2 c_pkts_all:3 c_rst_cnt:4 c_ack_cnt:5 c_ack_cnt_p:6 c_bytes_uniq:7 c_pkts_data:8 c_bytes_all:9 c_pkts_retx:10 c_bytes_retx:11 c_pkts_ooo:12 c_syn_cnt:13 c_fin_cnt:14 s_ip:15 s_port:16 s_pkts_all:17 s_rst_cnt:18 s_ack_cnt:19 s_ack_cnt_p:20 s_bytes_uniq:21 s_pkts_data:22 s_bytes_all:23 s_pkts_retx:24 s_bytes_retx:25 s_pkts_ooo:26 s_syn_cnt:27 s_fin_cnt:28 first:29 last:30 durat:31 c_first:32 s_first:33 c_last:34 s_last:35 c_first_ack:36 s_first_ack:37 c_isint:38 s_isint:39 c_iscrypto:40 s_iscrypto:41 con_t:42 p2p_t:43 http_t:44 c_rtt_avg:45 c_rtt_min:46 c_rtt_max:47 c_rtt_std:48 c_rtt_cnt:49 c_ttl_min:50 c_ttl_max:51 s_rtt_avg:52 s_rtt_min:53 s_rtt_max:54 s_rtt_std:55 s_rtt_cnt:56 s_ttl_min:57 s_ttl_max:58 p2p_st:59 ed2k_data:60 ed2k_sig:61 ed2k_c2s:62 ed2k_c2c:63 ed2k_chat:64 c_f1323_opt:65 c_tm_opt:66 c_win_scl:67 c_sack_opt:68 c_sack_cnt:69 c_mss:70 c_mss_max:71 c_mss_min:72 c_win_max:73 c_win_min:74 c_win_0:75 c_cwin_max:76 c_cwin_min:77 c_cwin_ini:78 c_pkts_rto:79 c_pkts_fs:80 c_pkts_reor:81 c_pkts_dup:82 c_pkts_unk:83 c_pkts_fc:84 c_pkts_unrto:85 c_pkts_unfs:86 c_syn_retx:87 s_f1323_opt:88 s_tm_opt:89 s_win_scl:90 s_sack_opt:91 s_sack_cnt:92 s_mss:93 s_mss_max:94 s_mss_min:95 s_win_max:96 s_win_min:97 s_win_0:98 s_cwin_max:99 s_cwin_min:100 s_cwin_ini:101 s_pkts_rto:102 s_pkts_fs:103 s_pkts_reor:104 s_pkts_dup:105 s_pkts_unk:106 s_pkts_fc:107 s_pkts_unrto:108 s_pkts_unfs:109 s_syn_retx:110 http_req_cnt:111 http_res_cnt:112 http_res:113 c_pkts_push:114 s_pkts_push:115 c_tls_SNI:116 s_tls_SCN:117 c_npnalpn:118 s_npnalpn:119 c_tls_sesid:120 c_last_handshakeT:121 s_last_handshakeT:122 c_appdataT:123 s_appdataT:124 c_appdataB:125 s_appdataB:126 fqdn:127 dns_rslv:128 req_tm:129 res_tm:130
192.168.100.1 48074 7679 0 7678 424 121905272 7253 121928440 5 23168 0 1 1 192.168.101.1 22 12531 0 12531 11451 42060 1078 42096 1 36 251 1 1 1565803942181.623 1565803950266.039 8084.416 51.279 99.823 8030.937 8030.654 50.957 92.065 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.74565 30.115 94.785 4.8900559999999995 888.0 64.0 64.0 0.931601 0.005 43.755 3.186236 586.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1196.0 1460.0 34752.0 12.0 64256.0 63872.0 0.0 1432276.0 16.0 32.0 0.0 3.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11423.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 245.0 5.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 826.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48082 5619 0 5618 306 84073584 5311 84138744 5 65160 0 1 1 192.168.101.1 22 6527 0 6527 5778 29928 747 29964 1 36 161 1 1 1565803951099.8682 1565803957303.506 6203.638 51.052 89.133 6159.005 6158.794 50.731 89.133 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.81902 30.262 91.099 5.639335 657.0 64.0 64.0 1.130902 0.005 49.07 3.7299230000000003 408.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 730.0 1460.0 31856.0 12.0 64256.0 64000.0 0.0 1277708.0 16.0 32.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 5457.0 1460.0 1080.0 28.0 2868608.0 48768.0 0.0 1080.0 28.0 32.0 0.0 146.0 15.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 17.0 585.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48108 7453 0 7452 459 117701644 6992 117736396 4 34752 0 1 1 192.168.101.1 22 12391 0 12391 11328 41772 1061 41952 2 180 263 1 1 1565803958872.853 1565803966593.4382 7720.585 51.036 99.275 7675.824 7675.638 50.733 91.481 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.612794 30.066 87.115 4.403559 867.0 64.0 64.0 1.071887 0.005 53.073 3.188565 565.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1085.0 1460.0 37648.0 16.0 64256.0 64000.0 0.0 1398868.0 16.0 32.0 0.0 3.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11272.0 1460.0 1080.0 28.0 3145728.0 64000.0 0.0 1080.0 28.0 32.0 0.0 246.0 15.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 796.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48114 6736 0 6735 351 96684036 6383 96718788 10 34752 0 1 1 192.168.101.1 22 7660 0 7660 6803 37272 855 37344 1 72 184 1 1 1565803967696.694 1565803978141.8508 10445.157 41.01 89.526 10399.677 10399.489 40.689 71.675 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.589349 30.142 93.959 5.518398 768.0 64.0 64.0 1.3771309999999999 0.003 43.843 3.9222690000000004 473.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 858.0 1460.0 30408.0 16.0 64256.0 63872.0 0.0 1236592.0 16.0 32.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6272.0 1460.0 1720.0 28.0 3145728.0 64128.0 0.0 1720.0 28.0 32.0 5.0 162.0 15.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 669.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48136 6766 0 6765 366 105091048 6398 105105408 2 14360 0 1 1 192.168.101.1 22 10380 0 10380 9449 36516 929 36588 2 72 203 1 1 1565803979301.1467 1565803986503.9697 7202.823 31.468 79.71 7149.152 7148.944 31.151 61.959 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.322965 30.088 91.159 5.1214949999999995 785.0 64.0 64.0 1.115751 0.006 41.222 3.205491 534.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 932.0 1460.0 33304.0 16.0 64256.0 64128.0 0.0 1396780.0 16.0 32.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9050.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 187.0 14.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 19.0 724.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48162 7946 0 7945 426 121905164 7518 121908060 2 2896 0 1 1 192.168.101.1 22 11178 0 11178 10108 44868 1068 44904 1 36 249 1 1 1565803987941.418 1565803996527.2488 8585.831 40.961 89.951 8542.413 8542.159 40.661 89.951 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.195476 30.1 84.558 5.022515 963.0 64.0 64.0 1.011354 0.004 43.426 2.747894 596.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1250.0 1460.0 31856.0 12.0 64256.0 63616.0 0.0 1428852.0 16.0 32.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 9395.0 1460.0 3096.0 28.0 3145728.0 64000.0 0.0 3096.0 28.0 32.0 0.0 236.0 13.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 43.0 818.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48172 5516 0 5515 307 84073584 5207 84080824 2 7240 0 1 1 192.168.101.1 22 7737 0 7737 6986 29964 749 30000 1 36 172 1 1 1565803997376.9119 1565804003437.6887 6060.777 40.864 89.709 6016.078 6015.877 40.513 81.296 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.362452000000005 30.187 82.1 5.120689 647.0 64.0 64.0 0.951778 0.007 41.846 2.858995 415.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 752.0 1460.0 34752.0 12.0 64256.0 64000.0 0.0 1335360.0 16.0 32.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 6578.0 1460.0 1080.0 28.0 2724736.0 64000.0 0.0 1080.0 28.0 32.0 0.0 167.0 5.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 21.0 576.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48190 7821 0 7820 475 126108684 7344 126115864 2 7180 0 1 1 192.168.101.1 22 11889 0 11889 10776 43140 1111 43176 1 36 271 1 1 1565804004921.161 1565804012987.1848 8066.024 41.257 90.59 8015.417 8015.168 40.995 71.811 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.26895 30.181 93.631 5.058216000000001 930.0 64.0 64.0 1.03204 0.005 53.271 3.633228 579.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1269.0 1460.0 34752.0 16.0 64256.0 64000.0 0.0 1358544.0 1.0 32.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 10402.0 1460.0 1080.0 28.0 3145728.0 64128.0 0.0 1080.0 28.0 32.0 0.0 264.0 7.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 839.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48216 7897 0 7896 482 126108719 7413 126126096 2 17377 0 1 1 192.168.101.1 22 12767 0 12767 11645 43428 1120 43464 1 36 283 1 1 1565804014355.0876 1565804022425.598 8070.51 41.175 100.135 8025.906 8025.696 40.885 81.763 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.407246 30.092 84.56 4.422662 943.0 64.0 64.0 0.829512 0.004 52.477 2.887364 594.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 1277.0 1460.0 33304.0 12.0 64256.0 64000.0 0.0 1444608.0 16.0 32.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 11260.0 1460.0 1080.0 28.0 3145728.0 38912.0 0.0 1080.0 28.0 32.0 0.0 259.0 24.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 18.0 836.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
192.168.100.1 48222 6876 0 6875 365 109294709 6509 109303400 5 8691 0 1 1 192.168.101.1 22 9756 0 9756 8788 37812 966 37848 1 36 209 1 1 1565804023598.16 1565804030887.8867 7289.727 30.975 70.163 7245.22 7244.943 30.691 70.163 1.0 1.0 0.0 0.0 0.0 0.0 0.0 38.550503000000006 30.151 91.857 4.7584550000000005 796.0 64.0 64.0 1.01578 0.006 53.008 3.011104 577.0 63.0 63.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 888.0 1460.0 33304.0 16.0 64256.0 64128.0 0.0 1413316.0 16.0 32.0 0.0 1.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 1.0 1.0 7.0 1.0 8332.0 1460.0 1080.0 28.0 3145728.0 54272.0 0.0 1080.0 28.0 32.0 0.0 187.0 20.0 0.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 --- 15.0 756.0 - - 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 - - 0.0 0.0
