#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,56148,1233256,0,1233255,1233253,130,1,130,0,0,0,1,1,192.168.100.2,80,165449,0,165449,1,10737418499,165446,10737432994,16,14495,0,1,1,1.60438E+12,1.60438E+12,165087.067,43.097,44.405,43.097,164983.486,43.088,43.135,1,1,0,0,1,0,1,0.067998,0.035,0.131,0.05458,3,54,54,46.327215,42.486,63.586,2.358574,2457,64,64,0,0,0,0,0,0,1,1,13,1,3367,8960,130,130,13852672,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4176032,2896,14480,0,0,0,0,16,0,0,0,0,1,1,200,1,497,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33408256,0.046327215,721.1367228,520.3282457
192.168.100.1,56312,1157092,0,1157091,1157089,130,1,130,0,0,0,1,1,192.168.100.2,80,165464,0,165464,1,10737418499,165461,10737427202,13,8703,0,1,1,1.60438E+12,1.60438E+12,165471.287,43.386,44.184,43.386,165369.031,43.365,43.426,1,1,0,0,1,0,1,0.071331,0.04,0.13,0.050846,3,54,54,46.416578,42.484,63.251,2.524144,1455,64,64,0,0,0,0,0,0,1,1,13,1,2619,8960,130,130,11755520,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4178928,2896,14480,0,0,0,0,13,0,0,0,0,1,1,200,1,514,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33431424,0.046416578,720.2474943,519.1197771
192.168.100.1,56488,982735,0,982734,982732,130,1,130,0,0,0,1,1,192.168.100.2,80,165148,0,165148,1,10737418501,165145,10737419962,8,1461,0,1,1,1.60438E+12,1.60438E+12,165846.865,42.999,43.857,42.999,165745.651,42.991,43.026,1,1,0,0,1,0,1,0.115663,0.027,0.272,0.135795,3,54,54,46.253361,42.483,63.294,1.94364,5828,64,64,0,0,0,0,0,0,1,1,13,1,772,8960,130,130,17793024,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4213680,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,2864,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33709440,0.046253361,728.7997947,517.9438254
192.168.100.1,56596,1125774,0,1125773,1125771,130,1,130,0,0,0,1,1,192.168.100.2,80,165881,0,165881,1,10737418499,165878,10737434442,18,15943,0,1,1,1.60438E+12,1.60438E+12,165127.01,42.92,44.85,42.92,165025.733,42.908,42.961,1,1,0,0,1,0,1,0.08633,0.041,0.172,0.074232,3,54,54,46.152795,42.469,59.63,2.102128,2416,64,64,0,0,0,0,0,0,1,1,13,1,4847,8960,130,130,16998400,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,18,0,0,0,0,1,1,200,1,529,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046152795,722.8580631,520.2024523
192.168.100.1,56720,966753,0,966752,966750,130,1,130,0,0,0,1,1,192.168.100.2,80,165132,0,165132,2,10737418497,165129,10737418514,8,17,0,1,1,1.60438E+12,1.60438E+12,165739.642,42.888,43.734,42.888,165680.867,42.88,42.914,1,1,0,0,1,0,1,0.025666,0.009,0.042,0.016503,3,54,54,46.434192,42.394,60.708,2.249493,2683,64,64,0,0,0,0,0,0,1,1,13,1,34,8960,130,130,12574720,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,1485,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046434192,718.477453,518.2788322
192.168.100.1,56890,1095447,0,1095446,1095444,130,1,130,0,0,0,1,1,192.168.100.2,80,165204,0,165204,1,10737418499,165201,10737427202,12,8703,0,1,1,1.60438E+12,1.60438E+12,165317.197,42.922,43.901,42.922,165215.816,42.914,42.948,1,1,0,0,1,0,1,0.089664,0.026,0.209,0.103423,3,54,54,46.095623,42.591,56.45,2.155862,1732,64,64,0,0,0,0,0,0,1,1,13,1,3634,8960,130,130,13459456,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,1,0,0,11,0,0,0,0,1,1,200,1,700,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046095623,723.7546177,519.6036418
192.168.100.1,56998,930912,0,930911,930909,130,1,130,0,0,0,1,1,192.168.100.2,80,165100,0,165100,1,10737418497,165097,10737418514,8,17,0,1,1,1.60438E+12,1.60439E+12,164916.082,43.104,43.616,43.104,164814.835,43.097,43.152,1,1,0,0,1,0,1,0.083997,0.045,0.159,0.064969,3,54,54,46.351886,42.404,61.81,2.050677,4229,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13582336,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,1042,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046351886,719.7532372,520.8670196
192.168.100.1,57168,1127696,0,1127695,1127693,130,1,130,0,0,0,1,1,192.168.100.2,80,165241,0,165241,1,10737418501,165238,10737424306,11,5805,0,1,1,1.60439E+12,1.60439E+12,164791.225,43.09,44.836,43.09,164687.658,43.082,43.115,1,1,0,0,1,0,1,0.054332,0.025,0.103,0.042442,3,54,54,46.090469,42.46,63.881,2.121403,2278,64,64,0,0,0,0,0,0,1,1,13,1,2336,8960,130,130,14073856,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4171688,2896,14480,0,0,0,0,11,0,0,0,0,1,1,200,1,2995,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33373504,0.046090469,724.0868823,521.2619449
192.168.100.1,57316,1190532,0,1190531,1190529,130,1,130,0,0,0,1,1,192.168.100.2,80,165387,0,165387,1,10737418499,165384,10737437338,19,18839,0,1,1,1.60439E+12,1.60439E+12,165748.214,42.781,44.504,42.781,165645.964,42.774,42.833,1,1,0,0,1,0,1,0.073664,0.045,0.124,0.04373,3,54,54,46.395848,42.471,59.756,2.405311,2101,64,64,0,0,0,0,0,0,1,1,13,1,5992,8960,130,130,14213120,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4171688,2896,14480,0,0,0,0,19,0,0,0,0,1,1,200,1,470,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33373504,0.046395848,719.3209185,518.252937
192.168.100.1,57470,1055347,0,1055346,1055344,130,1,130,0,0,0,1,1,192.168.100.2,80,165136,0,165136,1,10737418499,165133,10737418514,8,15,0,1,1,1.60439E+12,1.60439E+12,166659.905,44.215,45.135,44.215,166556.226,44.207,44.242,1,1,0,0,1,0,1,0.063665,0.027,0.131,0.058389,3,54,54,46.905976,42.547,57.811,2.36563,3785,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,14327808,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4171688,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,2189,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33373504,0.046905976,711.4979123,515.4169991
