#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,39298,795253,0,795252,795250,130,1,130,0,0,0,1,1,192.168.100.2,80,165121,0,165121,1,10737418501,165118,10737418514,7,13,0,1,1,1.60435E+12,1.60435E+12,165800.257,42.927,44.698,42.927,165697.405,42.919,42.979,1,1,0,0,1,0,1,0.051998,0.034,0.07,0.018,3,54,54,46.380554,42.392,64.455,1.947577,10989,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13836288,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,2731,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046380554,719.308355,518.0893544
192.168.100.1,40660,830677,0,830676,830674,130,1,130,0,0,0,1,1,192.168.100.2,80,165145,0,165145,1,10737418499,165142,10737419962,8,1463,0,1,1,1.60435E+12,1.60435E+12,166370.04,42.797,43.756,42.797,166266.344,42.79,42.824,1,1,0,0,1,0,1,0.066664,0.027,0.129,0.054647,3,54,54,46.443359,42.412,71.078,1.942526,10459,64,64,0,0,0,0,0,0,1,1,13,1,350,8960,130,130,13836288,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,492,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046443359,718.3356398,516.3150751
192.168.100.1,41930,774150,0,774149,774147,130,1,130,0,0,0,1,1,192.168.100.2,80,165124,0,165124,1,10737418499,165121,10737418514,7,15,0,1,1,1.60435E+12,1.60435E+12,166025.721,43.009,43.957,43.009,165922.934,42.996,43.04,1,1,0,0,1,0,1,0.064998,0.031,0.119,0.047286,3,54,54,46.488571,42.514,60.361,2.029461,9538,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13688832,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,149,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046488571,717.6370295,517.3857857
192.168.100.1,43190,767402,0,767401,767399,130,1,130,0,0,0,1,1,192.168.100.2,80,165125,0,165125,1,10737418497,165122,10737418514,8,17,0,1,1,1.60435E+12,1.60435E+12,165919.494,42.971,44.299,42.971,165820.682,42.964,42.997,1,1,0,0,1,0,1,0.054665,0.026,0.102,0.041296,3,54,54,46.364969,42.39,63.074,2.08879,7645,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13484032,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,1321,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046364969,719.5501414,517.7170328
192.168.100.1,44484,812489,0,812488,812486,130,1,130,0,0,0,1,1,192.168.100.2,80,165127,0,165127,1,10737418501,165124,10737422858,9,4357,0,1,1,1.60435E+12,1.60435E+12,165964.729,42.859,43.73,42.859,165864.82,42.852,42.877,1,1,0,0,1,0,1,0.067998,0.018,0.167,0.085738,3,54,54,46.40562,42.539,68.799,2.023958,10255,64,64,0,0,0,0,0,0,1,1,13,1,95,8960,130,130,14630912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,2725,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.04640562,718.9198205,517.5761343
192.168.100.1,45702,753631,0,753630,753628,130,1,130,0,0,0,1,1,192.168.100.2,80,165128,0,165128,1,10737418499,165125,10737418514,7,15,0,1,1,1.60435E+12,1.60435E+12,166139.17,42.973,44.088,42.973,166040.025,42.965,43,1,1,0,0,1,0,1,0.117329,0.027,0.278,0.1395,3,54,54,46.240692,42.432,62.008,2.056513,7108,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13697024,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4171688,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,318,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33373504,0.046240692,721.7345277,517.0324862
192.168.100.1,46972,850455,0,850454,850452,130,1,130,0,0,0,1,1,192.168.100.2,80,165112,0,165112,1,10737418499,165109,10737418514,7,15,0,1,1,1.60435E+12,1.60435E+12,165538.018,43.147,44.277,43.147,165436.668,43.1,43.21,1,1,0,0,1,0,1,0.108996,0.039,0.225,0.101173,3,54,54,46.40333,42.509,63.029,2.037013,8207,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13852672,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,737,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.04640333,718.9552991,518.9100918
192.168.100.1,48018,784555,0,784554,784552,130,1,130,0,0,0,1,1,192.168.100.2,80,165186,0,165186,1,10737418501,165183,10737425754,12,7253,0,1,1,1.60435E+12,1.60435E+12,166319.08,42.981,43.909,42.981,166220.222,42.974,42.998,1,1,0,0,1,0,1,0.086664,0.017,0.202,0.1006,3,54,54,46.315695,42.526,65.72,2.134697,6834,64,64,0,0,0,0,0,0,1,1,13,1,1378,8960,130,130,13058048,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4207888,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,2552,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33663104,0.046315695,726.8185007,516.4735521
192.168.100.1,48204,1019077,0,1019076,1019074,130,1,130,0,0,0,1,1,192.168.100.2,80,165277,0,165277,1,10737418499,165274,10737472090,19,53591,0,1,1,1.60435E+12,1.60435E+12,165477.69,42.775,43.665,42.775,165379.069,42.768,42.81,1,1,0,0,1,0,1,0.084664,0.035,0.174,0.077526,3,54,54,46.448582,42.49,73.041,2.178202,6381,64,64,0,0,0,0,0,0,1,1,13,1,2775,8960,130,130,13893632,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4174584,2896,14480,0,3,0,0,16,0,0,0,0,1,1,200,1,1724,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33396672,0.046448582,719.0030473,519.1018603
192.168.100.1,48322,833999,0,833998,833996,130,1,130,0,0,0,1,1,192.168.100.2,80,165131,0,165131,1,10737418497,165128,10737419962,9,1465,0,1,1,1.60435E+12,1.60435E+12,166064.782,42.943,43.663,42.943,165965.395,42.936,42.99,1,1,0,0,1,0,1,0.071998,0.029,0.14,0.059573,3,54,54,46.265078,42.522,64.475,2.224657,5440,64,64,0,0,0,0,0,0,1,1,13,1,115,8960,130,130,12410880,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,1590,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046265078,721.1037232,517.2641584
