#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,39538,716579,0,716578,716576,130,1,130,0,0,0,1,1,192.168.100.2,80,165132,0,165132,1,10737418497,165129,10737418514,8,17,0,1,1,1.60432E+12,1.60432E+12,167625.39,43.13,44.03,43.13,167521.429,43.107,43.164,1,1,0,0,1,0,1,0.070664,0.034,0.131,0.052653,3,54,54,46.864238,42.591,68.49,2.487098,11760,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,14376960,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,1625,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046864238,711.8844011,512.4483118
192.168.100.1,39700,649719,0,649718,649716,130,1,130,0,0,0,1,1,192.168.100.2,80,165127,0,165127,1,10737418499,165124,10737424306,12,5807,0,1,1,1.60432E+12,1.60432E+12,168047.418,42.876,43.391,42.876,167947.604,42.868,42.902,1,1,0,0,1,0,1,0.070331,0.026,0.151,0.069974,3,54,54,47.076556,42.436,71.394,3.142143,9108,64,64,0,0,0,0,0,0,1,1,13,1,535,8960,130,130,16662528,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,2183,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.047076556,708.6737611,511.161644
192.168.100.1,39828,650622,0,650621,650619,130,1,130,0,0,0,1,1,192.168.100.2,80,165113,0,165113,1,10737418497,165110,10737418514,8,17,0,1,1,1.60432E+12,1.60432E+12,171164.437,42.935,43.932,42.935,171061.361,42.927,42.972,1,1,0,0,1,0,1,0.062331,0.035,0.115,0.045622,3,54,54,47.935665,42.601,97.456,4.771999,10292,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13246464,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,1667,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.047935665,695.9728211,501.8527775
192.168.100.1,39950,683655,0,683654,683652,130,1,130,0,0,0,1,1,192.168.100.2,80,165140,0,165140,1,10737418501,165137,10737418514,7,13,0,1,1,1.60432E+12,1.60432E+12,171058.771,42.856,44.03,42.856,170958.485,42.848,42.882,1,1,0,0,1,0,1,0.09433,0.026,0.216,0.105633,3,54,54,47.702389,42.541,75.66,4.404786,8481,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13844480,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,3123,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.047702389,699.3762933,502.1627807
192.168.100.1,40126,720257,0,720256,720254,130,1,130,0,0,0,1,1,192.168.100.2,80,165146,0,165146,1,10737418499,165143,10737421410,10,2911,0,1,1,1.60432E+12,1.60432E+12,170786.857,43.003,44.095,43.003,170684.514,42.995,43.027,1,1,0,0,1,0,1,0.063331,0.024,0.141,0.067263,3,54,54,47.69804,42.571,80.952,4.266232,10236,64,64,0,0,0,0,0,0,1,1,13,1,81,8960,130,130,13238272,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4171688,2896,14480,0,0,0,0,10,0,0,0,0,1,1,200,1,2135,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33373504,0.04769804,699.682922,502.9624222
192.168.100.1,40252,910311,0,910310,910308,130,1,130,0,0,0,1,1,192.168.100.2,80,165156,0,165156,1,10737418501,165153,10737419962,8,1461,0,1,1,1.60432E+12,1.60432E+12,168588.793,42.811,43.432,42.811,168485.975,42.794,42.829,1,1,0,0,1,0,1,0.054332,0.018,0.127,0.062931,3,54,54,46.957576,42.609,80.25,3.327567,11078,64,64,0,0,0,0,0,0,1,1,13,1,595,8960,130,130,17989632,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,2567,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046957576,710.469382,509.5199875
192.168.100.1,40404,663059,0,663058,663056,130,1,130,0,0,0,1,1,192.168.100.2,80,165119,0,165119,1,10737418501,165116,10737418514,7,13,0,1,1,1.60432E+12,1.60432E+12,167873.517,42.886,43.507,42.886,167769.437,42.879,42.93,1,1,0,0,1,0,1,0.075664,0.029,0.154,0.068252,3,54,54,46.961005,42.485,74.782,2.778198,7432,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,13361152,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,2664,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046961005,710.4175049,511.6908828
192.168.100.1,40540,519604,0,519603,519601,130,1,130,0,0,0,1,1,192.168.100.2,80,165141,0,165141,1,10737418501,165138,10737418514,7,13,0,1,1,1.60432E+12,1.60432E+12,171689.074,42.915,43.768,42.915,171587.475,42.909,42.936,1,1,0,0,1,0,1,0.062665,0.021,0.144,0.070444,3,54,54,47.728402,42.541,82.129,4.436957,7743,64,64,0,0,0,0,0,0,1,1,13,1,0,8960,130,130,11296768,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,3234,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.047728402,698.9951183,500.3192464
192.168.100.1,40710,610174,0,610173,610171,130,1,130,0,0,0,1,1,192.168.100.2,80,165253,0,165253,1,10737418499,165250,10737424306,12,5807,0,1,1,1.60432E+12,1.60432E+12,168714.369,42.835,43.663,42.835,168612.73,42.827,42.858,1,1,0,0,1,0,1,0.072664,0.023,0.159,0.075049,3,54,54,46.883719,42.537,79.49,3.080794,13584,64,64,0,0,0,0,0,0,1,1,13,1,1522,8960,130,130,13361152,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,2348,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.046883719,711.5886007,509.140952
192.168.100.1,40838,460959,0,460958,460956,130,1,130,0,0,0,1,1,192.168.100.2,80,165136,0,165136,1,10737418499,165133,10737421410,9,2911,0,1,1,1.60432E+12,1.60432E+12,171592.167,42.828,43.441,42.828,171492.367,42.821,42.86,1,1,0,0,1,0,1,0.075664,0.023,0.172,0.083548,3,54,54,48.03525,42.635,92.322,4.922896,11405,64,64,0,0,0,0,0,0,1,1,13,1,176,8960,130,130,16703488,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,376,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.04803525,694.5299546,500.6019376
