#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,32812,854709,0,854708,854706,130,1,130,0,0,0,1,1,192.168.100.2,80,165190,0,165190,1,10737418499,165187,10737432994,8,14495,0,1,1,1.60442E+12,1.60442E+12,202277.318,53.558,54.726,53.558,202154.087,53.551,53.585,1,1,0,0,1,0,1,0.096663,0.027,0.227,0.112962,3,54,54,55.532157,42.855,81.568,1.541816,22024,64,64,0,0,0,0,0,0,1,1,13,1,778523,8960,130,130,11051008,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,1,0,0,7,0,0,0,0,1,1,200,1,66,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055532157,600.7675877,424.6618692
192.168.100.1,32976,1325645,0,1325644,1325642,130,1,130,0,0,0,1,1,192.168.100.2,80,165197,0,165197,1,10737418497,165194,10737574898,34,156401,0,1,1,1.60442E+12,1.60442E+12,201159.452,53.155,53.953,53.155,201039.661,53.138,53.193,1,1,0,0,1,0,1,0.063331,0.038,0.1,0.032517,3,54,54,55.632294,42.803,76.915,1.577226,17877,64,64,0,0,0,0,0,0,1,1,13,1,1209444,8960,130,130,13623296,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,18,0,0,16,0,0,0,0,1,1,200,1,1255,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055632294,599.6862182,427.027407
192.168.100.1,33164,928858,0,928857,928855,130,1,130,0,0,0,1,1,192.168.100.2,80,165363,0,165363,1,10737418499,165360,10740389810,102,2971311,0,1,1,1.60442E+12,1.60442E+12,202855.724,53.043,53.906,53.043,202734.008,53.035,53.07,1,1,0,0,1,0,1,0.064665,0.027,0.13,0.056801,3,54,54,55.581448,42.809,82.69,1.830024,21613,64,64,0,0,0,0,0,0,1,1,13,1,824501,8960,130,130,10772480,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4174584,2896,17376,0,28,0,0,74,0,0,0,0,1,1,200,1,638,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33396672,0.055581448,600.8600568,423.5676312
192.168.100.1,33310,958940,0,958939,958937,130,1,130,0,0,0,1,1,192.168.100.2,80,165168,0,165168,1,10737418501,165165,10737492362,15,73861,0,1,1,1.60442E+12,1.60442E+12,201591.759,53.007,53.84,53.007,201467.894,52.999,53.046,1,1,0,0,1,0,1,0.054998,0.039,0.085,0.026,3,54,54,55.386374,42.929,76.423,1.47663,22005,64,64,0,0,0,0,0,0,1,1,13,1,869790,8960,130,130,13385728,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4174584,2896,14480,0,5,0,0,10,0,0,0,0,1,1,200,1,2745,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33396672,0.055386374,602.9763205,426.1083852
192.168.100.1,33538,976831,0,976830,976828,130,1,130,0,0,0,1,1,192.168.100.2,80,165190,0,165190,1,10737418497,165187,10737502498,22,84001,0,1,1,1.60442E+12,1.60442E+12,202173.792,53.012,54.04,53.012,202061.884,53.004,53.073,1,1,0,0,1,0,1,0.059665,0.045,0.073,0.014048,3,54,54,55.545079,42.976,75.033,1.532631,22564,64,64,0,0,0,0,0,0,1,1,13,1,884488,8960,130,130,13697024,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4171688,2896,14480,0,14,0,0,8,0,0,0,0,1,1,200,1,856,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33373504,0.055545079,600.8363765,424.8820737
192.168.100.1,33712,901069,0,901068,901066,130,1,130,0,0,0,1,1,192.168.100.2,80,165244,0,165244,1,10737418499,165241,10738054186,37,635687,0,1,1,1.60442E+12,1.60442E+12,202648.055,42.977,43.918,42.977,202528.22,42.969,43.004,1,1,0,0,1,0,1,0.058331,0.027,0.113,0.047511,3,54,54,55.608086,42.775,75.287,1.677273,22969,64,64,0,0,0,0,0,0,1,1,13,1,817703,8960,130,130,14131200,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,18,0,0,19,0,0,0,0,1,1,200,1,167,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055608086,599.947281,423.9094892
192.168.100.1,33960,1014725,0,1014724,1014722,130,1,130,0,0,0,1,1,192.168.100.2,80,165315,0,165315,1,10737418497,165312,10738788322,84,1369825,0,1,1,1.60442E+12,1.60442E+12,202466.014,53.035,53.984,53.035,202346.529,53.028,53.062,1,1,0,0,1,0,1,0.060998,0.027,0.121,0.052115,3,54,54,55.574198,42.953,76.133,1.538136,21585,64,64,0,0,0,0,0,0,1,1,13,1,927582,8960,130,130,14131200,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,37,0,0,47,0,0,0,0,1,1,200,1,1322,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055574198,600.3131165,424.319642
192.168.100.1,34250,861806,0,861805,861803,130,1,130,0,0,0,1,1,192.168.100.2,80,165160,0,165160,1,10735072741,165157,10735113298,20,40557,0,1,1,1.60442E+12,1.60442E+12,202385.921,53.111,54.157,53.111,202267.026,53.104,53.128,1,1,0,0,1,0,1,0.072998,0.017,0.17,0.084339,3,54,54,55.542563,42.856,88.155,1.767146,22709,64,64,0,0,0,0,0,0,1,1,13,1,759402,8960,130,130,14589952,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4163000,2896,14480,0,11,0,0,9,0,0,0,0,1,1,200,1,2548,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33304000,0.055542563,599.6122289,424.3422959
192.168.100.1,34484,1293554,0,1293553,1293551,130,1,130,0,0,0,1,1,192.168.100.2,80,165277,0,165277,1,10737418501,165274,10737696530,30,278029,0,1,1,1.60442E+12,1.60442E+12,201189.019,52.913,53.353,52.913,201070.324,52.906,52.938,1,1,0,0,1,0,1,0.068664,0.025,0.12,0.047962,3,54,54,55.624424,42.923,78.049,1.606819,13068,64,64,0,0,0,0,0,0,1,1,13,1,1154888,8960,130,130,14082048,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,8,0,0,22,0,0,0,0,1,1,200,1,2793,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055624424,599.7710646,426.969487
192.168.100.1,34638,1910129,0,1910128,1910126,130,1,130,0,0,0,1,1,192.168.100.2,80,165592,0,165592,1,10737418501,165589,10738737642,54,1319141,0,1,1,1.60442E+12,1.60442E+12,200310.364,52.836,53.398,52.836,200198.65,52.823,52.871,1,1,0,0,1,0,1,0.062331,0.035,0.109,0.040612,3,54,54,55.351462,42.874,71.534,1.641027,2486,64,64,0,0,0,0,0,0,1,1,13,1,1735959,8960,130,130,16744448,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,20,10,0,0,24,0,0,0,0,1,1,200,1,3106,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055351462,602.7287951,428.883955
192.168.100.1,34812,918206,0,918205,918203,130,1,130,0,0,0,1,1,192.168.100.2,80,165200,0,165200,1,10737418501,165197,10737543042,33,124541,0,1,1,1.60442E+12,1.60442E+12,200852.661,42.875,43.361,42.875,200733.716,42.867,42.9,1,1,0,0,1,0,1,0.100663,0.025,0.244,0.124195,3,54,54,55.348781,42.834,80.93,1.422282,10849,64,64,0,0,0,0,0,0,1,1,13,1,823676,8960,130,130,13484032,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,14480,0,26,0,0,7,0,0,0,0,1,1,200,1,2996,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.055348781,602.7579903,427.6783982
192.168.100.1,34980,1035780,0,1035779,1035777,130,1,130,0,0,0,1,1,192.168.100.2,80,165165,0,165165,1,10736245617,165162,10736506274,14,260657,0,1,1,1.60442E+12,1.60442E+12,202068.744,52.85,53.836,52.85,201949.586,52.842,52.876,1,1,0,0,1,0,1,0.075997,0.026,0.167,0.078937,3,54,54,55.41916,42.923,81.515,1.441085,20285,64,64,0,0,0,0,0,0,1,1,13,1,953370,8960,130,130,8749056,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4170240,2896,18824,0,3,0,0,11,0,0,0,0,1,1,200,1,1072,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33361920,0.05541916,601.9925239,425.063513
