#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,54446,697303,0,697302,697300,130,1,130,0,0,0,1,1,192.168.100.2,80,171800,0,171800,1,10736807445,171797,10736865378,17,57933,0,1,1,1.6039E+12,1.6039E+12,166605.89,42.999,44.19,42.999,166501.469,42.993,43.016,1,1,0,0,1,0,1,0.050665,0.017,0.117,0.057449,3,54,54,47.361018,42.476,73.981,3.658991,6708,64,64,0,0,0,0,0,0,1,1,13,1,3570,8960,130,130,8675328,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,17,0,0,0,0,1,1,200,1,1950,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047361018,705.6402377,515.5575414
192.168.100.1,54560,648044,0,648043,648041,130,1,130,0,0,0,1,1,192.168.100.2,80,165101,0,165101,1,10737418501,165098,10737421410,8,2909,0,1,1,1.6039E+12,1.6039E+12,165848.185,43.047,43.806,43.047,165742.975,43.04,43.063,1,1,0,0,1,0,1,0.049998,0.016,0.117,0.058026,3,54,54,49.881012,42.79,83.199,3.772744,4112,64,64,0,0,0,0,0,0,1,1,13,1,345,8960,130,130,36814848,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,423,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049881012,669.9912183,517.9397729
192.168.100.1,54796,719987,0,719986,719984,130,1,130,0,0,0,1,1,192.168.100.2,80,168021,0,168021,1,10737418501,168018,10737476434,14,57933,0,1,1,1.6039E+12,1.6039E+12,165735.812,42.76,43.324,42.76,165634.735,42.754,42.776,1,1,0,0,1,0,1,0.053665,0.016,0.128,0.064376,3,54,54,47.238253,42.453,66.309,3.951297,4736,64,64,0,0,0,0,0,0,1,1,13,1,1845,8960,130,130,12943360,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,13,0,0,0,0,1,1,200,1,1708,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047238253,707.4740888,518.293605
192.168.100.1,54904,668852,0,668851,668849,130,1,130,0,0,0,1,1,192.168.100.2,80,165027,0,165027,1,10737418501,165024,10737463402,8,44901,0,1,1,1.6039E+12,1.6039E+12,165379.594,42.837,43.613,42.837,165271.51,42.83,42.854,1,1,0,0,1,0,1,0.044332,0.016,0.1,0.048211,3,54,54,50.001694,42.589,82.914,3.78171,2560,64,64,0,0,0,0,0,0,1,1,13,1,412,8960,130,130,12460032,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,642,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050001694,668.3741555,519.4093487
192.168.100.1,55042,745240,0,745239,745237,130,1,130,0,0,0,1,1,192.168.100.2,80,167444,0,167444,1,10737418499,167441,10737474986,16,56487,0,1,1,1.6039E+12,1.6039E+12,165605.084,42.862,43.22,42.862,165504.345,42.855,42.88,1,1,0,0,1,0,1,0.079664,0.018,0.202,0.105945,3,54,54,49.576975,42.546,73.935,3.276201,3516,64,64,0,0,0,0,0,0,1,1,13,1,3261,8960,130,130,13058048,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,3,0,0,13,0,0,0,0,1,1,200,1,107,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049576975,674.1000232,518.7026739
192.168.100.1,55178,660696,0,660695,660693,130,1,130,0,0,0,1,1,192.168.100.2,80,172007,0,172007,1,10736913147,172004,10737052170,18,139023,0,1,1,1.6039E+12,1.6039E+12,167690.497,42.962,44.508,42.962,167589.592,42.956,42.979,1,1,0,0,1,0,1,0.054998,0.017,0.131,0.065818,3,54,54,45.960912,42.447,68.966,3.588801,9560,64,64,0,0,0,0,0,0,1,1,13,1,1121,8960,130,130,12820480,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,18,0,0,0,0,1,1,200,1,125,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045960912,727.1361369,512.231873
192.168.100.1,55366,726694,0,726693,726691,130,1,130,0,0,0,1,1,192.168.100.2,80,165751,0,165751,1,10737418497,165748,10737466298,14,47801,0,1,1,1.6039E+12,1.6039E+12,165782.413,43.134,43.847,43.134,165677.218,43.127,43.15,1,1,0,0,1,0,1,0.059331,0.016,0.142,0.071619,3,54,54,50.360093,42.559,59.576,3.858765,2559,64,64,0,0,0,0,0,0,1,1,13,1,951,8960,130,130,8749056,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,4,0,0,10,0,0,0,0,1,1,200,1,344,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050360093,663.6175195,518.1474249
192.168.100.1,55502,686658,0,686657,686655,130,1,130,0,0,0,1,1,192.168.100.2,80,174887,0,174887,1,10736383179,174884,10736446906,21,63727,0,1,1,1.6039E+12,1.6039E+12,167160.574,42.901,43.443,42.901,167058.926,42.894,42.916,1,1,0,0,1,0,1,0.051998,0.015,0.125,0.063222,3,54,54,46.0582,42.37,68.539,3.38798,9728,64,64,0,0,0,0,0,0,1,1,13,1,2852,8960,130,130,9420800,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,21,0,0,0,0,1,1,200,1,143,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.0460582,725.6002189,513.8267547
192.168.100.1,55616,680287,0,680286,680284,130,1,130,0,0,0,1,1,192.168.100.2,80,165089,0,165089,1,10737418501,165086,10737463402,8,44901,0,1,1,1.6039E+12,1.6039E+12,165593.648,42.684,43.419,42.684,165488.592,42.677,42.699,1,1,0,0,1,0,1,0.034666,0.015,0.073,0.033201,3,54,54,50.270602,42.647,56.674,3.853896,2375,64,64,0,0,0,0,0,0,1,1,13,1,366,8960,130,130,8437760,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,7,0,0,0,0,1,1,200,1,954,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050270602,664.7988819,518.7379362
192.168.100.1,55870,689881,0,689880,689878,130,1,130,0,0,0,1,1,192.168.100.2,80,167046,0,167046,1,10736701737,167043,10736752434,13,50697,0,1,1,1.6039E+12,1.6039E+12,165683.721,42.77,43.452,42.77,165585.137,42.764,42.786,1,1,0,0,1,0,1,0.048998,0.016,0.115,0.057158,3,54,54,49.857309,42.541,65.271,3.390024,4398,64,64,0,0,0,0,0,0,1,1,13,1,4878,8960,130,130,12853248,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,1,0,0,12,0,0,0,0,1,1,200,1,623,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049857309,670.3097434,518.4215984
