#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,51634,708983,0,708982,708980,130,1,130,0,0,0,1,1,192.168.100.2,80,165529,0,165529,1,10737418501,165526,10737464850,10,46349,0,1,1,1.60386E+12,1.60386E+12,165391.622,43.041,43.538,43.041,165289.72,43.035,43.059,1,1,0,0,1,0,1,0.051665,0.018,0.117,0.056589,3,54,54,50.205328,42.554,78.488,3.88745,2636,64,64,0,0,0,0,0,0,1,1,13,1,1291,8960,130,130,8536064,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,904,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050205328,665.6632141,519.3716451
192.168.100.1,51802,733976,0,733975,733973,130,1,130,0,0,0,1,1,192.168.100.2,80,166648,0,166648,1,10737418501,166645,10737469194,11,50693,0,1,1,1.60386E+12,1.60386E+12,165397.538,42.948,43.537,42.948,165297.658,42.941,42.977,1,1,0,0,1,0,1,0.092664,0.018,0.231,0.119926,3,54,54,50.026963,42.541,65.281,3.519586,3207,64,64,0,0,0,0,0,0,1,1,13,1,1012,8960,130,130,9453568,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,10,0,0,0,0,1,1,200,1,1198,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050026963,668.0365546,519.3532781
192.168.100.1,51924,622266,0,622265,622263,130,1,130,0,0,0,1,1,192.168.100.2,80,180313,0,180313,1,10737418501,180310,10737608202,25,189701,0,1,1,1.60386E+12,1.60386E+12,169466.682,42.834,44.47,42.834,169365.24,42.828,42.851,1,1,0,0,1,0,1,0.050332,0.017,0.114,0.055157,3,54,54,45.293318,42.389,65.387,3.269229,13887,64,64,0,0,0,0,0,0,1,1,13,1,3312,8960,130,130,12337152,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,3,0,0,22,0,0,0,0,1,1,200,1,1428,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045293318,737.8536498,506.8894051
192.168.100.1,52128,703849,0,703848,703846,130,1,130,0,0,0,1,1,192.168.100.2,80,165019,0,165019,1,10737418501,165016,10737518426,12,99925,0,1,1,1.60386E+12,1.60386E+12,165041.096,42.804,43.458,42.804,164937.679,42.797,42.82,1,1,0,0,1,0,1,0.053998,0.016,0.126,0.062386,3,54,54,49.975751,42.747,62.081,3.727707,2196,64,64,0,0,0,0,0,0,1,1,13,1,766,8960,130,130,12238848,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,10,0,0,0,0,1,1,200,1,654,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049975751,668.7211164,520.4773204
192.168.100.1,52222,654580,0,654579,654577,130,1,130,0,0,0,1,1,192.168.100.2,80,171306,0,171306,1,10737418497,171303,10737493810,22,75313,0,1,1,1.60386E+12,1.60386E+12,166153.611,42.969,43.424,42.969,166048.015,42.963,42.984,1,1,0,0,1,0,1,0.050998,0.015,0.122,0.06149,3,54,54,46.398478,42.418,93.455,3.559341,8528,64,64,0,0,0,0,0,0,1,1,13,1,4290,8960,130,130,55042048,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,22,0,0,0,0,1,1,200,1,917,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046398478,720.2787988,516.9911744
192.168.100.1,52350,699272,0,699271,699269,130,1,130,0,0,0,1,1,192.168.100.2,80,165033,0,165033,1,10737418501,165030,10737464850,23,46349,0,1,1,1.60386E+12,1.60386E+12,164468.164,43.173,44.216,43.173,164362.607,43.167,43.188,1,1,0,0,1,0,1,0.057665,0.015,0.141,0.072176,3,54,54,50.292606,42.865,60.852,3.822004,2305,64,64,0,0,0,0,0,0,1,1,13,1,117,8960,130,130,9207808,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,23,0,0,0,0,1,1,200,1,913,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050292606,664.5080193,522.2878198
192.168.100.1,52548,715518,0,715517,715515,130,1,130,0,0,0,1,1,192.168.100.2,80,203026,0,203026,1,10737418497,203023,10737635714,30,217217,0,1,1,1.60386E+12,1.60386E+12,180677.496,42.914,43.55,42.914,180579.484,42.907,42.939,1,1,0,0,1,0,1,0.059998,0.025,0.121,0.053019,3,54,54,44.399716,42.348,67.921,2.64033,22294,64,64,0,0,0,0,0,0,1,1,13,1,3797,8960,130,130,9404416,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,30,0,0,0,0,1,1,200,1,1042,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044399716,752.7039137,475.4387658
192.168.100.1,52671,681505,0,681504,681502,130,1,130,0,0,0,1,1,192.168.100.2,80,166874,0,166874,1,10737418499,166871,10737425754,11,7255,0,1,1,1.60386E+12,1.60386E+12,165906.301,42.908,43.447,42.908,165805.844,42.901,42.933,1,1,0,0,1,0,1,0.057998,0.025,0.116,0.050388,3,54,54,49.882246,42.499,82.537,3.677813,3368,64,64,0,0,0,0,0,0,1,1,13,1,2073,8960,130,130,9109504,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,11,0,0,0,0,1,1,200,1,113,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049882246,669.9746439,517.7585511
192.168.100.1,52940,639597,0,639596,639594,130,1,130,0,0,0,1,1,192.168.100.2,80,177566,0,177566,1,10737418499,177563,10737696530,36,278031,0,1,1,1.60386E+12,1.60387E+12,169364.489,42.907,43.261,42.907,169266.334,42.901,42.924,1,1,0,0,1,0,1,0.052665,0.017,0.12,0.058347,3,54,54,45.275744,42.354,63.894,3.180923,14115,64,64,0,0,0,0,0,0,1,1,13,1,2349,8960,130,130,19087360,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,14,0,0,22,0,0,0,0,1,1,200,1,338,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045275744,738.1400513,507.1994297
192.168.100.1,53060,609461,0,609460,609458,130,1,130,0,0,0,1,1,192.168.100.2,80,205977,0,205977,1,10737418497,205974,10737509738,27,91241,0,1,1,1.60387E+12,1.60387E+12,186568.672,42.826,43.897,42.826,186470.531,42.82,42.841,1,1,0,0,1,0,1,0.056331,0.015,0.137,0.069867,3,54,54,44.148221,42.379,66.891,2.273493,28546,64,64,0,0,0,0,0,0,1,1,13,1,6033,8960,130,130,9412608,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,27,0,0,0,0,1,1,200,1,589,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044148221,756.991771,460.4206965
192.168.100.1,53226,702563,0,702562,702560,130,1,130,0,0,0,1,1,192.168.100.2,80,166870,0,166870,1,10737418497,166867,10737463402,36,44905,0,1,1,1.60387E+12,1.60387E+12,165994.722,43.001,43.569,43.001,165891.401,42.995,43.018,1,1,0,0,1,0,1,0.071331,0.017,0.18,0.094108,3,54,54,48.043214,42.428,62.921,3.654501,4300,64,64,0,0,0,0,0,0,1,1,13,1,1965,8960,130,130,12935168,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1168,30080,28960,0,4177480,2896,14480,0,26,0,0,10,0,0,0,0,1,1,200,1,371,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.048043214,695.6204054,517.4845693
192.168.100.1,53356,596344,0,596343,596341,130,1,130,0,0,0,1,1,192.168.100.2,80,198743,0,198743,1,10735841627,198740,10735908250,45,66623,0,1,1,1.60387E+12,1.60387E+12,183069.606,42.927,43.327,42.927,182971.856,42.92,42.944,1,1,0,0,1,0,1,0.051998,0.017,0.122,0.060622,3,54,54,44.029628,42.342,65.369,2.010051,25698,64,64,0,0,0,0,0,0,1,1,13,1,2813,8960,130,130,8617984,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,23,0,0,22,0,0,0,0,1,1,200,1,144,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044029628,759.0307145,469.1508759
192.168.100.1,53462,624479,0,624478,624476,130,1,130,0,0,0,1,1,192.168.100.2,80,176123,0,176123,1,10737418499,176120,10737477882,22,59383,0,1,1,1.60387E+12,1.60387E+12,168065.588,43.072,43.542,43.072,167968.446,43.066,43.087,1,1,0,0,1,0,1,0.057331,0.015,0.142,0.073323,3,54,54,45.607669,42.382,66.878,3.244765,11132,64,64,0,0,0,0,0,0,1,1,13,1,2268,8960,130,130,8568832,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,3,0,0,19,0,0,0,0,1,1,200,1,933,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045607669,732.7679913,511.1089312
