#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,37290,1224653,0,1224652,1224650,130,1,130,0,0,0,1,1,192.168.100.2,80,179126,0,179126,1,10737418501,179123,10737537250,19,118749,0,1,1,1.60393E+12,1.60393E+12,209162.455,53.08,54.121,53.08,209038.031,53.072,53.105,1,1,0,0,1,0,1,0.061998,0.025,0.127,0.056471,3,54,54,56.078265,42.69,74.004,4.007683,6146,64,64,0,0,0,0,0,0,1,1,13,1,1026907,8960,130,130,8232960,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,8,0,0,11,0,0,0,0,1,1,200,1,1676,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056078265,595.9499639,410.6869849
192.168.100.1,38064,1196357,0,1196356,1196354,130,1,130,0,0,0,1,1,192.168.100.2,80,167364,0,167364,1,10737418499,167361,10737480778,17,62279,0,1,1,1.60393E+12,1.60393E+12,200966.775,53.086,53.824,53.086,200840.614,53.08,53.103,1,1,0,0,1,0,1,0.044999,0.017,0.1,0.047634,3,54,54,58.31566,42.536,67.815,4.244876,2936,64,64,0,0,0,0,0,0,1,1,13,1,1021370,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,9,0,0,8,0,0,0,0,1,1,200,1,752,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.05831566,573.0851713,427.4330731
192.168.100.1,38904,1159955,0,1159954,1159952,130,1,130,0,0,0,1,1,192.168.100.2,80,169208,0,169208,1,10737418499,169205,10738795562,43,1377063,0,1,1,1.60393E+12,1.60393E+12,200308.301,52.993,54.897,52.993,200180.972,52.985,53.019,1,1,0,0,1,0,1,0.071664,0.026,0.144,0.063359,3,54,54,58.497738,42.958,77.108,3.623225,4676,64,64,0,0,0,0,0,0,1,1,13,1,999899,8960,130,130,8495104,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,41,0,0,0,0,1,1,200,1,218,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.058497738,571.3014066,428.8906853
192.168.100.1,39886,1156593,0,1156592,1156590,130,1,130,0,0,0,1,1,192.168.100.2,80,207735,0,207735,1,10737418499,207732,10738762258,42,1343759,0,1,1,1.60393E+12,1.60393E+12,215930.949,53.165,54.151,53.165,215804.849,53.158,53.191,1,1,0,0,1,0,1,0.061665,0.026,0.115,0.047057,3,54,54,54.78466,42.846,96.847,2.945828,20867,64,64,0,0,0,0,0,0,1,1,13,1,981231,8960,130,130,8429568,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,41,0,0,0,0,1,1,200,1,1775,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.05478466,610.0218565,397.8591233
192.168.100.1,40838,914349,0,914348,914346,130,1,130,0,0,0,1,1,192.168.100.2,80,167171,0,167171,1,10737418501,167168,10738216362,50,797861,0,1,1,1.60393E+12,1.60393E+12,201487.482,53.042,54.03,53.042,201360.255,53.036,53.059,1,1,0,0,1,0,1,0.077997,0.017,0.199,0.10479,3,54,54,58.88355,42.809,75.189,4.127877,4973,64,64,0,0,0,0,0,0,1,1,13,1,775109,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,36,0,0,14,0,0,0,0,1,1,200,1,956,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.05888355,567.558172,426.3576578
192.168.100.1,41808,885305,0,885304,885302,130,1,130,0,0,0,1,1,192.168.100.2,80,177988,0,177988,1,10737418499,177985,10737745762,53,327263,0,1,1,1.60393E+12,1.60393E+12,212475.897,52.819,53.825,52.819,212350.094,52.813,52.836,1,1,0,0,1,0,1,0.061998,0.017,0.151,0.077078,3,54,54,56.348033,42.445,72.738,4.314796,8808,64,64,0,0,0,0,0,0,1,1,13,1,744732,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,41,0,0,12,0,0,0,0,1,1,200,1,448,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056348033,593.0968345,404.2904033
192.168.100.1,42124,981663,0,981662,981660,130,1,130,0,0,0,1,1,192.168.100.2,80,180185,0,180185,1,10737418499,180182,10737676258,47,257759,0,1,1,1.60393E+12,1.60393E+12,211001.216,53.034,53.883,53.034,210879.222,53.027,53.058,1,1,0,0,1,0,1,0.072331,0.024,0.16,0.076055,3,54,54,56.193886,43.048,78.501,4.182674,9600,64,64,0,0,0,0,0,0,1,1,13,1,829674,8960,130,130,8495104,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4178928,2896,14480,0,36,0,0,11,0,0,0,0,1,1,200,1,905,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33431424,0.056193886,594.9299182,407.1133413
192.168.100.1,42412,984692,0,984691,984689,130,1,130,0,0,0,1,1,192.168.100.2,80,182806,0,182806,1,10737418497,182803,10737501050,17,82553,0,1,1,1.60393E+12,1.60393E+12,211599.84,53.01,53.681,53.01,211477.34,53.003,53.028,1,1,0,0,1,0,1,0.055665,0.018,0.118,0.054372,3,54,54,56.638947,42.618,77.007,3.920048,11379,64,64,0,0,0,0,0,0,1,1,13,1,833460,8960,130,130,8503296,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,16,0,0,0,0,1,1,200,1,646,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056638947,590.0505177,405.954978
192.168.100.1,56844,957920,0,957919,957917,130,1,130,0,0,0,1,1,192.168.100.2,80,184183,0,184183,1,10737418501,184180,10737506842,19,88341,0,1,1,1.60394E+12,1.60394E+12,211443.521,53.165,55.331,53.165,211334.42,53.158,53.191,1,1,0,0,1,0,1,0.066664,0.025,0.149,0.071305,3,54,54,56.650211,42.724,86.093,3.803196,12582,64,64,0,0,0,0,0,0,1,1,13,1,809612,8960,130,130,16515072,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,18,0,0,0,0,1,1,200,1,1861,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056650211,589.9331955,406.2553174
192.168.100.1,57042,847764,0,847763,847761,130,1,130,0,0,0,1,1,192.168.100.2,80,169684,0,169684,1,10737418497,169681,10737515530,15,97033,0,1,1,1.60394E+12,1.60394E+12,203338.353,52.992,53.966,52.992,203218.835,52.985,53.009,1,1,0,0,1,0,1,0.074998,0.017,0.191,0.100459,3,54,54,58.353997,42.716,76.4,4.071052,6499,64,64,0,0,0,0,0,0,1,1,13,1,717275,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,13,0,0,0,0,1,1,200,1,521,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.058353997,572.7086698,422.4491985
