#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,56806,1006436,0,1006435,1006433,130,1,130,0,0,0,1,1,192.168.100.2,80,167951,0,167951,1,10737418499,167948,10737446026,23,27527,0,1,1,1.60424E+12,1.60424E+12,165640.402,42.932,43.459,42.932,165540.553,42.924,42.951,1,1,0,0,1,0,1,0.11133,0.019,0.286,0.151348,3,54,54,47.633492,42.482,73.242,4.528109,2943,64,64,0,0,0,0,0,0,1,1,13,1,10405,8960,130,130,8519680,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,15,0,0,8,0,0,0,0,1,1,200,1,868,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047633492,701.6038211,518.590677
192.168.100.1,56964,640945,0,640944,640942,130,1,130,0,0,0,1,1,192.168.100.2,80,171742,0,171742,1,10737418501,171739,10737469194,18,50693,0,1,1,1.60424E+12,1.60424E+12,167683.193,42.965,44.061,42.965,167581.624,42.957,42.998,1,1,0,0,1,0,1,0.082664,0.033,0.164,0.071009,3,54,54,46.257222,42.488,64.926,3.73486,10061,64,64,0,0,0,0,0,0,1,1,13,1,7280,8960,130,130,12959744,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,16,0,0,0,0,1,1,200,1,963,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046257222,722.4783192,512.2740808
192.168.100.1,57096,592061,0,592060,592058,130,1,130,0,0,0,1,1,192.168.100.2,80,173523,0,173523,1,10737418501,173520,10737459058,14,40557,0,1,1,1.60424E+12,1.60424E+12,168237.707,43.011,43.843,43.011,168136.183,43.004,43.03,1,1,0,0,1,0,1,0.043665,0.019,0.092,0.041861,3,54,54,46.276947,42.45,66.128,3.745652,10446,64,64,0,0,0,0,0,0,1,1,13,1,6060,8960,130,130,9347072,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,14,0,0,0,0,1,1,200,1,1544,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046276947,722.1703714,510.5851357
192.168.100.1,57216,626922,0,626921,626919,130,1,130,0,0,0,1,1,192.168.100.2,80,169269,0,169269,1,10737418499,169266,10737453266,13,34767,0,1,1,1.60424E+12,1.60424E+12,166818.516,42.917,43.845,42.917,166712.246,42.908,42.946,1,1,0,0,1,0,1,0.057665,0.029,0.11,0.045391,3,54,54,47.368388,42.525,65.636,4.126652,7562,64,64,0,0,0,0,0,0,1,1,13,1,6367,8960,130,130,9232384,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,2,0,0,11,0,0,0,0,1,1,200,1,1051,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047368388,705.5304479,514.9286074
192.168.100.1,57394,762602,0,762601,762599,130,1,130,0,0,0,1,1,192.168.100.2,80,198768,0,198768,1,10737418501,198765,10737466298,21,47797,0,1,1,1.60424E+12,1.60424E+12,179615.058,42.967,43.682,42.967,179514.818,42.96,42.993,1,1,0,0,1,0,1,0.066331,0.026,0.129,0.055012,3,54,54,44.728064,42.435,62.691,2.758565,20697,64,64,0,0,0,0,0,0,1,1,13,1,8354,8960,130,130,8798208,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,3,0,0,18,0,0,0,0,1,1,200,1,2043,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044728064,747.1783263,478.2434799
192.168.100.1,57550,950272,0,950271,950269,130,1,130,0,0,0,1,1,192.168.100.2,80,167529,0,167529,1,10737418501,167526,10737528562,28,110061,0,1,1,1.60424E+12,1.60424E+12,165340.956,42.942,43.811,42.942,165232.78,42.935,42.968,1,1,0,0,1,0,1,0.077997,0.021,0.187,0.09443,3,54,54,47.690906,42.565,57.596,4.46135,3154,64,64,0,0,0,0,0,0,1,1,13,1,10064,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,11,0,0,17,0,0,0,0,1,1,200,1,1144,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047690906,700.7591762,519.5338806
192.168.100.1,57704,1006395,0,1006394,1006392,130,1,130,0,0,0,1,1,192.168.100.2,80,167994,0,167994,1,10737418499,167991,10737419962,9,1463,0,1,1,1.60424E+12,1.60424E+12,165396.504,43.131,44.399,43.131,165288.72,43.124,43.156,1,1,0,0,1,0,1,0.082664,0.025,0.178,0.083164,3,54,54,47.422415,42.506,59.101,4.114888,3258,64,64,0,0,0,0,0,0,1,1,13,1,8686,8960,130,130,13180928,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,562,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047422415,704.7266572,519.3541436
192.168.100.1,57826,685231,0,685230,685228,130,1,130,0,0,0,1,1,192.168.100.2,80,172278,0,172278,1,10737418501,172275,10737608202,49,189701,0,1,1,1.60424E+12,1.60424E+12,167660.643,42.982,43.751,42.982,167560.244,42.975,43.008,1,1,0,0,1,0,1,0.110663,0.026,0.275,0.142339,3,54,54,46.781158,42.479,66.225,3.956585,8517,64,64,0,0,0,0,0,0,1,1,13,1,8536,8960,130,130,8921088,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,10,0,0,39,0,0,0,0,1,1,200,1,1393,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046781158,714.3867623,512.3496134
192.168.100.1,57978,791962,0,791961,791959,130,1,130,0,0,0,1,1,192.168.100.2,80,165249,0,165249,1,10737418499,165246,10737421410,8,2911,0,1,1,1.60424E+12,1.60424E+12,165174.975,43.002,44.058,43.002,165075.095,42.994,43.038,1,1,0,0,1,0,1,0.084664,0.036,0.17,0.074144,3,54,54,49.997894,42.652,63.061,3.65096,3257,64,64,0,0,0,0,0,0,1,1,13,1,8275,8960,130,130,13082624,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,8,0,0,0,0,1,1,200,1,369,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049997894,668.4249541,520.05076
192.168.100.1,58130,515768,0,515767,515765,130,1,130,0,0,0,1,1,192.168.100.2,80,170478,0,170478,1,10737418499,170475,10737459058,13,40559,0,1,1,1.60424E+12,1.60424E+12,167704.626,42.942,43.524,42.942,167598.467,42.935,42.967,1,1,0,0,1,0,1,0.049998,0.025,0.091,0.035791,3,54,54,46.951041,42.438,65.59,3.87716,9046,64,64,0,0,0,0,0,0,1,1,13,1,6321,8960,130,130,13221888,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,12,0,0,0,0,1,1,200,1,340,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046951041,711.8018959,512.2081275
