#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,54702,726883,0,726882,726880,130,1,130,0,0,0,1,1,192.168.100.2,80,181927,0,181927,1,10736636581,181924,10736681482,18,44901,0,1,1,1.6042E+12,1.60421E+12,170849.096,42.894,43.593,42.894,170743.302,42.887,42.916,1,1,0,0,1,0,1,0.082664,0.022,0.187,0.090754,3,54,54,45.324102,42.397,67.749,3.332478,11420,64,64,0,0,0,0,0,0,1,1,13,1,6252,8960,130,130,11640832,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,18,0,0,0,0,1,1,200,1,1676,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045324102,737.3525018,502.7445498
192.168.100.1,54874,636706,0,636705,636703,130,1,130,0,0,0,1,1,192.168.100.2,80,170080,0,170080,1,10737353339,170077,10737385210,19,31871,0,1,1,1.60421E+12,1.60421E+12,167593.525,42.985,43.763,42.985,167495.387,42.978,43.021,1,1,0,0,1,0,1,0.048665,0.033,0.077,0.024583,3,54,54,46.597652,42.492,66.143,4.222159,6409,64,64,0,0,0,0,0,0,1,1,13,1,5442,8960,130,130,9207808,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,7,0,0,12,0,0,0,0,1,1,200,1,986,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046597652,717.2000855,512.5441552
192.168.100.1,54988,736981,0,736980,736978,130,1,130,0,0,0,1,1,192.168.100.2,80,168344,0,168344,1,10737418501,168341,10737451818,10,33317,0,1,1,1.60421E+12,1.60421E+12,166857.473,42.866,43.339,42.866,166747.853,42.858,42.892,1,1,0,0,1,0,1,0.055665,0.026,0.105,0.043016,3,54,54,47.636141,42.452,66.2,4.497153,4436,64,64,0,0,0,0,0,0,1,1,13,1,5956,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,982,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047636141,701.5648056,514.8083151
192.168.100.1,55144,647257,0,647256,647254,130,1,130,0,0,0,1,1,192.168.100.2,80,182783,0,182783,1,10737418497,182780,10737430098,16,11601,0,1,1,1.60421E+12,1.60421E+12,172501.107,43.164,44.446,43.164,172392.125,43.157,43.185,1,1,0,0,1,0,1,0.056998,0.021,0.126,0.059775,3,54,54,45.084442,42.458,65.756,3.209257,12967,64,64,0,0,0,0,0,0,1,1,13,1,6949,8960,130,130,8609792,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,16,0,0,0,0,1,1,200,1,1053,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045084442,741.2721222,497.964577
192.168.100.1,55312,641130,0,641129,641127,130,1,130,0,0,0,1,1,192.168.100.2,80,175765,0,175765,1,10736245619,175762,10736281834,13,36215,0,1,1,1.60421E+12,1.60421E+12,170650.396,43.084,44.154,43.084,170543.648,43.077,43.109,1,1,0,0,1,0,1,0.050998,0.025,0.093,0.036715,3,54,54,46.151022,42.309,62.549,3.97512,7568,64,64,0,0,0,0,0,0,1,1,13,1,6870,8960,130,130,9011200,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,12,0,0,0,0,1,1,200,1,744,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046151022,724.1408435,503.3111946
192.168.100.1,55412,668188,0,668187,668185,130,1,130,0,0,0,1,1,192.168.100.2,80,173894,0,173894,1,10737418497,173891,10737482226,51,63729,0,1,1,1.60421E+12,1.60421E+12,169248.605,42.929,44.187,42.929,169143.546,42.922,42.955,1,1,0,0,1,0,1,0.062998,0.026,0.128,0.056471,3,54,54,46.06751,42.427,67.635,3.67359,10105,64,64,0,0,0,0,0,0,1,1,13,1,6763,8960,130,130,15278080,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,50,0,0,0,0,1,1,200,1,819,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.04606751,725.4535789,507.536578
192.168.100.1,55592,716777,0,716776,716774,130,1,130,0,0,0,1,1,192.168.100.2,80,179070,0,179070,1,10737418501,179067,10737460506,23,42005,0,1,1,1.60421E+12,1.60421E+12,170777.374,42.958,43.718,42.958,170674.448,42.951,42.998,1,1,0,0,1,0,1,0.049332,0.036,0.072,0.019732,3,54,54,45.378442,42.381,65.745,3.502191,10315,64,64,0,0,0,0,0,0,1,1,13,1,7243,8960,130,130,8568832,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,8,0,0,15,0,0,0,0,1,1,200,1,1769,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045378442,736.4695333,502.9921824
192.168.100.1,55700,837262,0,837261,837259,130,1,130,0,0,0,1,1,192.168.100.2,80,165493,0,165493,1,10737418499,165490,10737450370,8,31871,0,1,1,1.60421E+12,1.60421E+12,164859.315,42.9,43.666,42.9,164753.148,42.892,42.927,1,1,0,0,1,0,1,0.067331,0.027,0.14,0.063058,3,54,54,49.477378,42.594,61.487,4.473445,2887,64,64,0,0,0,0,0,0,1,1,13,1,10218,8960,130,130,8396800,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,402,30080,28960,0,4177480,2896,14480,0,1,0,0,7,0,0,0,0,1,1,200,1,395,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049477378,675.4569735,521.0479187
192.168.100.1,55824,685824,0,685823,685821,130,1,130,0,0,0,1,1,192.168.100.2,80,174294,0,174294,1,10737223019,174291,10737233170,12,10151,0,1,1,1.60421E+12,1.60421E+12,169478.31,42.81,43.43,42.81,169371.001,42.802,42.835,1,1,0,0,1,0,1,0.068331,0.025,0.134,0.05783,3,54,54,46.120792,42.417,65.125,4.036738,7389,64,64,0,0,0,0,0,0,1,1,13,1,8578,8960,130,130,12951552,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1168,30080,28960,0,4177480,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,689,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046120792,724.6154836,506.8369242
192.168.100.1,55998,836066,0,836065,836063,130,1,130,0,0,0,1,1,192.168.100.2,80,170878,0,170878,1,10737418499,170875,10737451818,14,33319,0,1,1,1.60421E+12,1.60421E+12,168114.553,42.861,43.584,42.861,168015.204,42.854,42.891,1,1,0,0,1,0,1,0.068664,0.019,0.157,0.076696,3,54,54,46.800487,42.474,60.858,4.391775,5433,64,64,0,0,0,0,0,0,1,1,13,1,6937,8960,130,130,17760256,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,5,0,0,9,0,0,0,0,1,1,200,1,863,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046800487,714.0917145,510.9588255
