#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,47440,750319,0,750318,750316,130,1,130,0,0,0,1,1,192.168.100.2,80,172912,0,172912,2,10736962381,172908,10736998594,11,36213,0,1,1,1.60417E+12,1.60417E+12,168787.439,42.896,43.338,42.896,168684.232,42.888,42.919,1,1,0,0,1,0,1,0.065331,0.023,0.144,0.068193,3,54,54,46.419055,42.471,81.476,3.906322,9425,64,64,0,0,0,0,0,0,1,1,13,1,6670,8960,130,130,56156160,8192,4,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,11,0,0,0,0,1,1,200,1,955,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046419055,719.959508,508.9003617
192.168.100.1,47614,683412,0,683411,683409,130,1,130,0,0,0,1,1,192.168.100.2,80,166959,0,166959,1,10737418499,166956,10737450370,8,31871,0,1,1,1.60417E+12,1.60417E+12,166050.884,42.929,44.178,42.929,165951.228,42.922,42.953,1,1,0,0,1,0,1,0.072331,0.024,0.157,0.073569,3,54,54,48.418519,42.53,62.017,4.595062,4001,64,64,0,0,0,0,0,0,1,1,13,1,4717,8960,130,130,8445952,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,7,0,0,0,0,1,1,200,1,361,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.048418519,690.228464,517.3089169
192.168.100.1,47746,745328,0,745327,745325,130,1,130,0,0,0,1,1,192.168.100.2,80,165282,0,165282,1,10737418499,165279,10737447474,10,28975,0,1,1,1.60417E+12,1.60417E+12,165393.607,42.713,43.936,42.713,165291.825,42.706,42.74,1,1,0,0,1,0,1,0.062331,0.027,0.123,0.052776,3,54,54,49.577822,42.669,83.652,3.819522,3492,64,64,0,0,0,0,0,0,1,1,13,1,6206,8960,130,130,12476416,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,10,0,0,0,0,1,1,200,1,328,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.049577822,674.0885068,519.3645713
192.168.100.1,47916,690764,0,690763,690761,130,1,130,0,0,0,1,1,192.168.100.2,80,170620,0,170620,1,10737418501,170617,10737637162,26,218661,0,1,1,1.60417E+12,1.60417E+12,167254.39,42.855,43.588,42.855,167147.024,42.835,42.88,1,1,0,0,1,0,1,0.073664,0.025,0.149,0.066161,3,54,54,46.96313,42.441,89.449,4.471588,6857,64,64,0,0,0,0,0,0,1,1,13,1,4722,8960,130,130,67108864,8192,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4209336,2896,14480,0,3,0,0,23,0,0,0,0,1,1,200,1,1063,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33674688,0.04696313,717.0452225,513.5954715
192.168.100.1,48122,821142,0,821141,821139,130,1,130,0,0,0,1,1,192.168.100.2,80,165285,0,165285,1,10737418499,165282,10737444578,23,26079,0,1,1,1.60417E+12,1.60417E+12,165232.026,42.853,43.753,42.853,165121.333,42.845,42.891,1,1,0,0,1,0,1,0.158328,0.036,0.401,0.210158,3,54,54,50.194509,42.795,83.561,3.79072,3060,64,64,0,0,0,0,0,0,1,1,13,1,5810,8960,130,130,9592832,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,16,0,0,7,0,0,0,0,1,1,200,1,295,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.050194509,665.8066921,519.8723196
192.168.100.1,48236,830258,0,830257,830255,130,1,130,0,0,0,1,1,192.168.100.2,80,171055,0,171055,2,10735673661,171051,10735676570,9,2909,0,1,1,1.60417E+12,1.60417E+12,169291.662,42.925,43.853,42.925,169191.436,42.916,42.954,1,1,0,0,1,0,1,0.067998,0.029,0.129,0.053507,3,54,54,47.095274,42.486,108.968,4.843243,7101,64,64,0,0,0,0,0,0,1,1,13,1,5340,8960,130,130,62816256,8192,4,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,343,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047095274,709.6219464,507.3221655
192.168.100.1,48373,757938,0,757937,757935,130,1,130,0,0,0,1,1,192.168.100.2,80,187060,0,187060,1,10737418501,187057,10737460506,21,42005,0,1,1,1.60417E+12,1.60417E+12,175835.528,42.892,43.884,42.892,175732.736,42.876,42.919,1,1,0,0,1,0,1,0.073664,0.027,0.161,0.075692,3,54,54,45.181467,42.337,86.87,3.264675,16641,64,64,0,0,0,0,0,0,1,1,13,1,6732,8960,130,130,37511168,8192,1,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,4,0,0,17,0,0,0,0,1,1,200,1,1396,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045181467,739.6802764,488.5229113
192.168.100.1,48540,817723,0,817722,817720,130,1,130,0,0,0,1,1,192.168.100.2,80,170867,0,170867,1,10736310777,170864,10736342650,14,31873,0,1,1,1.60417E+12,1.60417E+12,166720.045,42.86,43.848,42.86,166622.168,42.851,42.884,1,1,0,0,1,0,1,0.169994,0.024,0.461,0.252014,3,54,54,46.828388,42.504,65.807,3.994349,6471,64,64,0,0,0,0,0,0,1,1,13,1,5071,8960,130,130,16662528,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,5,0,0,9,0,0,0,0,1,1,200,1,418,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.046828388,713.6662488,515.1794507
192.168.100.1,48692,723879,0,723878,723876,130,1,130,0,0,0,1,1,192.168.100.2,80,168148,0,168148,2,10737418497,168144,10737451818,11,33321,0,1,1,1.60417E+12,1.60417E+12,166785.26,43.019,44.329,43.019,166682.16,43.011,43.065,1,1,0,0,1,0,1,0.081331,0.046,0.134,0.04649,3,54,54,47.778959,42.537,92.154,4.849741,4359,64,64,0,0,0,0,0,0,1,1,13,1,5097,8960,130,130,67108864,8192,2,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,784,30080,28960,0,4177480,2896,14480,0,1,0,0,10,0,0,0,0,1,1,200,1,612,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047778959,699.4677301,515.0312117
192.168.100.1,48836,1101902,0,1101901,1101899,130,1,130,0,0,0,1,1,192.168.100.2,80,174296,0,174296,3,10737341757,174291,10737402586,25,60829,0,1,1,1.60417E+12,1.60417E+12,168990.636,42.953,43.843,42.953,168886.792,42.899,42.981,1,1,0,0,1,0,1,0.100997,0.028,0.232,0.113697,3,54,54,45.702254,42.455,86.077,3.888866,6441,64,64,0,0,0,0,0,0,1,1,13,1,10499,8960,130,130,19103744,8192,3,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,11,0,0,14,0,0,0,0,1,1,200,1,1496,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045702254,731.2514608,508.3075768
