#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,59254,784708,0,784707,784705,130,1,130,0,0,0,1,1,192.168.100.2,80,202344,0,202344,1,10737202745,202341,10737347562,21,144817,0,1,1,1.60427E+12,1.60427E+12,208149.023,43.09,43.801,43.09,208023.547,43.083,43.114,1,1,0,0,1,0,1,0.063331,0.024,0.111,0.044095,3,54,54,54.91237,42.813,84.443,2.896561,24299,64,64,0,0,0,0,0,0,1,1,13,1,654645,8960,130,130,9150464,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,7,0,0,14,0,0,0,0,1,1,200,1,848,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.05491237,608.6031253,412.6792394
192.168.100.1,59420,711273,0,711272,711270,130,1,130,0,0,0,1,1,192.168.100.2,80,216174,0,216174,1,10736917491,216171,10736949362,17,31871,0,1,1,1.60427E+12,1.60427E+12,218081.569,52.999,54.055,52.999,217956.693,52.992,53.024,1,1,0,0,1,0,1,0.09033,0.025,0.199,0.094749,3,54,54,54.700593,43.511,95.841,2.792525,31068,64,64,0,0,0,0,0,0,1,1,13,1,584663,8960,130,130,14942208,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,15,0,0,1,0,1,1,200,1,285,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.054700593,610.959373,393.8691164
192.168.100.1,59618,693373,0,693372,693370,130,1,130,0,0,0,1,1,192.168.100.2,80,231292,0,231292,1,10737418501,231289,10737454714,24,36213,0,1,1,1.60427E+12,1.60427E+12,226168.691,53.122,54.538,53.122,226047.688,53.114,53.148,1,1,0,0,1,0,1,0.064998,0.026,0.124,0.051971,3,54,54,54.389116,43.089,67.328,2.408136,37726,64,64,0,0,0,0,0,0,1,1,13,1,559251,8960,130,130,13795328,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,6,0,0,18,0,0,0,0,1,1,200,1,1769,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.054389116,614.4582309,379.8033995
192.168.100.1,59808,1499191,0,1499190,1499188,130,1,130,0,0,0,1,1,192.168.100.2,80,170339,0,170339,1,10737418499,170336,10737509738,34,91239,0,1,1,1.60427E+12,1.60427E+12,199466.188,53.093,53.56,53.093,199345.328,53.086,53.126,1,1,0,0,1,0,1,0.049665,0.033,0.083,0.028868,3,54,54,56.932568,43.838,82.956,4.104955,4500,64,64,0,0,0,0,0,0,1,1,13,1,1298326,8960,130,130,18079744,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4364272,2896,20272,0,10,0,0,24,0,0,0,0,1,1,200,1,737,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,34914176,0.056932568,613.2548948,430.6498197
192.168.100.1,60040,1119484,0,1119483,1119481,130,1,130,0,0,0,1,1,192.168.100.2,80,236306,0,236306,1,10737418499,236303,10738914298,71,1495799,0,1,1,1.60427E+12,1.60427E+12,220596.698,53.371,54.248,53.371,220478.085,53.364,53.404,1,1,0,0,1,0,1,0.074998,0.033,0.142,0.058643,3,54,54,54.284485,42.795,104.606,2.294341,35159,64,64,0,0,0,0,0,0,1,1,13,1,952719,8960,130,130,35201024,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,11,0,0,60,0,0,0,0,1,1,200,1,791,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.054284485,615.6425726,389.4496843
192.168.100.1,60230,1192646,0,1192645,1192643,130,1,130,0,0,0,1,1,192.168.100.2,80,170003,0,170003,1,10737223017,170000,10737244754,12,21737,0,1,1,1.60427E+12,1.60428E+12,199057.763,53.321,54.308,53.321,198938.845,53.313,53.355,1,1,0,0,1,0,1,0.073331,0.034,0.142,0.059677,3,54,54,56.953451,43.492,75.728,4.008404,5127,64,64,0,0,0,0,0,0,1,1,13,1,1010251,8960,130,130,15917056,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,4,0,0,8,0,0,0,0,1,1,200,1,567,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056953451,586.7921858,431.5227738
192.168.100.1,60366,994055,0,994054,994052,130,1,130,0,0,0,1,1,192.168.100.2,80,165709,0,165709,1,10737027539,165706,10737263578,35,236039,0,1,1,1.60428E+12,1.60428E+12,199223.565,53.115,54.04,53.115,199104.873,53.03,53.143,1,1,0,0,1,0,1,0.107996,0.028,0.261,0.132548,3,54,54,59.45603,43.464,73.567,3.339216,3835,64,64,0,0,0,0,0,0,1,1,13,1,832124,8960,130,130,33234944,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,27,0,0,8,0,0,0,0,1,1,200,1,304,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.05945603,562.0933655,431.1643988
192.168.100.1,60626,1235179,0,1235178,1235176,130,1,130,0,0,0,1,1,192.168.100.2,80,165490,0,165490,1,10737418497,165487,10737527114,12,108617,0,1,1,1.60428E+12,1.60428E+12,198504.374,52.952,53.984,52.952,198376.665,52.945,52.99,1,1,0,0,1,0,1,0.051332,0.034,0.082,0.026633,3,54,54,59.831254,43.513,82.817,3.606932,2876,64,64,0,0,0,0,0,0,1,1,13,1,1040281,8960,130,130,8888320,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,4,0,0,8,0,0,0,0,1,1,200,1,583,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.059831254,558.5682694,432.7371492
192.168.100.1,60846,1268109,0,1268108,1268106,130,1,130,0,0,0,1,1,192.168.100.2,80,170261,0,170261,1,10737418499,170258,10737502498,22,83999,0,1,1,1.60428E+12,1.60428E+12,199033.767,52.799,53.603,52.799,198911.305,52.792,52.845,1,1,0,0,1,0,1,0.074998,0.035,0.144,0.060008,3,54,54,57.122239,43.874,79.943,3.987605,5076,64,64,0,0,0,0,0,0,1,1,13,1,1074747,8960,130,130,11747328,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,26064,0,5,0,0,17,0,0,0,0,1,1,200,1,384,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.057122239,585.0582993,431.585159
192.168.100.1,60986,1264356,0,1264355,1264353,130,1,130,0,0,0,1,1,192.168.100.2,80,166012,0,166012,1,10737418497,166009,10737438786,11,20289,0,1,1,1.60428E+12,1.60428E+12,198691.053,53.248,54.232,53.248,198568.02,53.24,53.273,1,1,0,0,1,0,1,0.061665,0.025,0.126,0.055896,3,54,54,59.260386,43.564,77.031,3.402292,3240,64,64,0,0,0,0,0,0,1,1,13,1,1079204,8960,130,130,9347072,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,2,0,0,9,0,0,0,0,1,1,200,1,700,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.059260386,563.9490772,432.3270172
192.168.100.1,32922,1133694,0,1133693,1133691,130,1,130,0,0,0,1,1,192.168.100.2,80,205130,0,205130,1,10737418497,205127,10737499602,51,81105,0,1,1,1.60428E+12,1.60428E+12,208410.781,53.073,53.743,53.073,208290.445,53.065,53.095,1,1,0,0,1,0,1,0.08733,0.022,0.211,0.107156,3,54,54,54.837749,42.616,92.923,2.891212,21961,64,64,0,0,0,0,0,0,1,1,13,1,966965,8960,130,130,9166848,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4180376,2896,14480,0,35,0,0,16,0,0,0,0,1,1,200,1,958,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33443008,0.054837749,609.8537706,412.1667622
192.168.100.1,33128,1254796,0,1254795,1254793,130,1,130,0,0,0,1,1,192.168.100.2,80,175036,0,175036,1,10737418499,175033,10737576346,21,157847,0,1,1,1.60428E+12,1.60428E+12,200292.514,53.106,54.019,53.106,200170.097,53.089,53.143,1,1,0,0,1,0,1,0.071331,0.037,0.107,0.035019,3,54,54,56.147616,42.475,75.174,3.81181,6911,64,64,0,0,0,0,0,0,1,1,13,1,1066734,8960,130,130,11198464,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,402,30080,28960,0,4177480,2896,14480,0,8,0,0,13,0,0,0,0,1,1,200,1,1027,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056147616,595.2138734,428.875793
