#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,34402,507692,0,507691,507689,130,1,130,0,0,0,1,1,192.168.100.2,80,218441,0,218441,1,10737418499,218438,10737451818,10,33319,0,1,1,1.60407E+12,1.60407E+12,194635.89,42.959,44.056,42.959,194536.095,42.952,43.007,1,1,0,0,1,0,1,0.059665,0.048,0.082,0.019348,3,54,54,44.35273,42.433,59.05,2.355015,34897,64,64,0,0,0,0,0,0,1,1,13,1,639,8960,130,130,8413184,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,1995,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.04435273,753.5013065,441.334918
192.168.100.1,34698,465419,0,465418,465416,130,1,130,0,0,0,1,1,192.168.100.2,80,192500,0,192500,1,10737418497,192497,10737451818,10,33321,0,1,1,1.60407E+12,1.60407E+12,174619.339,42.882,44.057,42.882,174514.617,42.862,42.919,1,1,0,0,1,0,1,0.076331,0.037,0.147,0.06133,3,54,54,44.537141,42.399,68.285,2.479693,26109,64,64,0,0,0,0,0,0,1,1,13,1,1282,8960,130,130,8495104,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,1239,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044537141,750.3813503,491.9249783
192.168.100.1,34930,745713,0,745712,745710,130,1,130,0,0,0,1,1,192.168.100.2,80,438636,0,438636,1,10737418499,438633,10737446026,26,27527,0,1,1,1.60407E+12,1.60407E+12,389113.934,42.922,43.925,42.922,388980.139,42.914,42.948,1,1,0,0,1,0,1,0.046332,0.026,0.079,0.028572,3,54,54,43.384556,42.29,63.701,0.623565,107925,64,64,0,0,0,0,0,0,1,1,13,1,2208,8960,130,130,11935744,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3909600,2896,14480,0,0,0,0,26,0,0,0,0,1,1,200,1,580,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,31276800,0.043384556,720.9201357,220.7568547
192.168.100.1,35420,573750,0,573749,573747,130,1,130,0,0,0,1,1,192.168.100.2,80,379301,0,379301,1,10737418499,379298,10737432994,18,14495,0,1,1,1.60407E+12,1.60407E+12,319025.396,42.779,43.796,42.779,318926.042,42.772,42.805,1,1,0,0,1,0,1,0.079331,0.016,0.196,0.10116,3,54,54,43.487858,42.385,54.611,0.569155,106448,64,64,0,0,0,0,0,0,1,1,13,1,683,8960,130,130,11943936,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3976208,2896,14480,0,0,0,0,18,0,0,0,0,1,1,200,1,1677,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,31809664,0.043487858,731.4608137,269.2558807
192.168.100.1,35768,550354,0,550353,550351,130,1,130,0,0,0,1,1,192.168.100.2,80,195284,0,195284,1,10737418501,195281,10737534354,12,115853,0,1,1,1.60407E+12,1.60407E+12,180772.319,42.909,44.08,42.909,180665.904,42.901,42.943,1,1,0,0,1,0,1,0.095663,0.034,0.196,0.087649,3,54,54,44.547198,42.403,63.92,2.815517,20197,64,64,0,0,0,0,0,0,1,1,13,1,2907,8960,130,130,8347648,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,2778,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044547198,750.2119437,475.1848917
192.168.100.1,36048,646258,0,646257,646255,130,1,130,0,0,0,1,1,192.168.100.2,80,412939,0,412939,1,10737418501,412936,10737443130,24,24629,0,1,1,1.60407E+12,1.60407E+12,356747.454,43.119,43.858,43.119,356648.465,43.112,43.167,1,1,0,0,1,0,1,0.049998,0.023,0.079,0.028054,3,54,54,43.473449,42.283,65.113,0.6082,112824,64,64,0,0,0,0,0,0,1,1,13,1,1999,8960,130,130,11354112,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1112,30080,28960,0,3774936,2896,14480,0,1,0,0,23,0,0,0,0,1,1,200,1,2951,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,30199488,0.043473449,694.6651047,240.7853065
192.168.100.1,36452,572581,0,572580,572578,130,1,130,0,0,0,1,1,192.168.100.2,80,380840,0,380840,1,10737418499,380837,10737437338,19,18839,0,1,1,1.60407E+12,1.60407E+12,318731.028,43.128,44.041,43.128,318632.853,43.121,43.153,1,1,0,0,1,0,1,0.077331,0.025,0.171,0.081304,3,54,54,43.512129,42.335,55.793,0.637529,110380,64,64,0,0,0,0,0,0,1,1,13,1,867,8960,130,130,12345344,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4039920,2896,14480,0,1,0,0,18,0,0,0,0,1,1,200,1,56,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,32319360,0.043512129,742.7666893,269.5046643
192.168.100.1,36882,470229,0,470228,470226,130,1,130,0,0,0,1,1,192.168.100.2,80,228942,0,228942,1,10737418499,228939,10737447474,10,28975,0,1,1,1.60407E+12,1.60407E+12,203442.339,42.961,44.015,42.961,203341.199,42.954,42.987,1,1,0,0,1,0,1,0.086664,0.026,0.201,0.099077,3,54,54,44.155035,42.449,62.184,2.20961,37729,64,64,0,0,0,0,0,0,1,1,13,1,1552,8960,130,130,9322496,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1112,30080,28960,0,4177480,2896,14480,0,0,0,0,10,0,0,0,0,1,1,200,1,2301,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044155035,756.8749521,422.2305947
192.168.100.1,37118,405719,0,405718,405716,130,1,130,0,0,0,1,1,192.168.100.2,80,168099,0,168099,1,10737418501,168096,10737450370,8,31869,0,1,1,1.60407E+12,1.60407E+12,166254.046,42.838,44.154,42.838,166152.146,42.831,42.862,1,1,0,0,1,0,1,0.073998,0.024,0.153,0.069217,3,54,54,48.066308,42.443,58.806,4.171523,6009,64,64,0,0,0,0,0,0,1,1,13,1,1723,8960,130,130,8585216,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,7,0,0,0,0,1,1,200,1,2734,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.048066308,695.2861867,516.6767668
192.168.100.1,37376,504532,0,504531,504529,130,1,130,0,0,0,1,1,192.168.100.2,80,203978,0,203978,1,10737418497,203975,10737453266,11,34769,0,1,1,1.60407E+12,1.60407E+12,180533.063,42.865,43.936,42.865,180426.881,42.858,42.891,1,1,0,0,1,0,1,0.044999,0.026,0.074,0.025515,3,54,54,44.410261,42.439,82.429,2.329275,30853,64,64,0,0,0,0,0,0,1,1,13,1,1509,8960,130,130,8298496,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1152,30080,28960,0,4177480,2896,14480,0,0,0,0,11,0,0,0,0,1,1,200,1,1246,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044410261,752.5251878,475.8110492
