#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,47706,585726,0,585725,585723,130,1,130,0,0,0,1,1,192.168.100.2,80,361371,0,361371,1,10737418499,361368,10737432994,18,14495,0,1,1,1.60403E+12,1.60403E+12,296579.689,43.049,44.33,43.049,296481.08,43.041,43.082,1,1,0,0,1,0,1,0.046665,0.027,0.08,0.029023,3,54,54,43.477122,42.377,83.383,0.555495,93308,64,64,0,0,0,0,0,0,1,1,13,1,788,8960,130,130,7356416,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3602624,2896,14480,0,0,0,0,18,0,0,0,0,1,1,200,1,2002,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,28820992,0.043477122,662.90018,289.6336706
192.168.100.1,47996,645925,0,645924,645922,130,1,130,0,0,0,1,1,192.168.100.2,80,192905,0,192905,1,10737418501,192902,10737421410,9,2909,0,1,1,1.60403E+12,1.60403E+12,178508.123,42.925,43.618,42.925,178402.87,42.918,42.95,1,1,0,0,1,0,1,0.083664,0.025,0.183,0.086495,3,54,54,44.992759,42.415,76.088,3.210456,18350,64,64,0,0,0,0,0,0,1,1,13,1,3067,8960,130,130,14688256,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,2739,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044992759,742.7826331,481.2070725
192.168.100.1,48164,660358,0,660357,660355,130,1,130,0,0,0,1,1,192.168.100.2,80,168543,0,168543,1,10737418499,168540,10737444578,10,26079,0,1,1,1.60403E+12,1.60403E+12,166153.379,43.014,43.678,43.014,166045.214,43.008,43.038,1,1,0,0,1,0,1,0.08633,0.019,0.216,0.112322,3,54,54,48.135596,42.437,82.711,4.421438,5177,64,64,0,0,0,0,0,0,1,1,13,1,4489,8960,130,130,8486912,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,2038,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.048135596,694.2853684,516.9895258
192.168.100.1,48330,622281,0,622280,622278,130,1,130,0,0,0,1,1,192.168.100.2,80,272562,0,272562,1,10737418499,272559,10737454714,16,36215,0,1,1,1.60403E+12,1.60403E+12,221730.586,42.913,44.412,42.913,221632.314,42.905,42.947,1,1,0,0,1,0,1,0.081997,0.034,0.108,0.041617,3,54,54,43.715041,42.376,60.193,1.130384,56066,64,64,0,0,0,0,0,0,1,1,13,1,1287,8960,130,130,8437760,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3882088,2896,14480,0,2,0,0,14,0,0,0,0,1,1,200,1,1771,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,31056704,0.043715041,710.4352024,387.4054512
192.168.100.1,48584,651528,0,651527,651525,130,1,130,0,0,0,1,1,192.168.100.2,80,236026,0,236026,1,10737418501,236023,10737448922,14,30421,0,1,1,1.60403E+12,1.60403E+12,195645.777,42.939,43.653,42.939,195547.189,42.931,42.985,1,1,0,0,1,0,1,0.070331,0.036,0.129,0.051052,3,54,54,43.98177,42.402,63.204,1.552728,43294,64,64,0,0,0,0,0,0,1,1,13,1,738,8960,130,130,8257536,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3955936,2896,14480,0,4,0,0,10,0,0,0,0,1,1,200,1,3096,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,31647488,0.04398177,719.5592174,439.056711
192.168.100.1,48812,736709,0,736708,736706,130,1,130,0,0,0,1,1,192.168.100.2,80,190444,0,190444,1,10737418497,190441,10737421410,9,2913,0,1,1,1.60403E+12,1.60403E+12,176518.213,43.111,43.847,43.111,176412.598,43.103,43.146,1,1,0,0,1,0,1,0.078997,0.035,0.157,0.067735,3,54,54,44.681158,42.448,82.295,2.925722,16446,64,64,0,0,0,0,0,0,1,1,13,1,4453,8960,130,130,8462336,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,1043,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044681158,747.9627095,486.6317748
192.168.100.1,48964,755251,0,755250,755248,130,1,130,0,0,0,1,1,192.168.100.2,80,180629,0,180629,1,10737418501,180626,10737446026,21,27525,0,1,1,1.60403E+12,1.60403E+12,169140.105,42.729,43.744,42.729,169030.923,42.72,42.756,1,1,0,0,1,0,1,0.053998,0.027,0.1,0.040037,3,54,54,45.671618,42.458,79.309,3.573734,13932,64,64,0,0,0,0,0,0,1,1,13,1,2823,8960,130,130,16982016,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,13,0,0,8,0,0,0,0,1,1,200,1,2700,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045671618,731.7419759,507.8604404
192.168.100.1,49198,607154,0,607153,607151,130,1,130,0,0,0,1,1,192.168.100.2,80,188855,0,188855,1,10737418497,188852,10737431546,10,13049,0,1,1,1.60403E+12,1.60403E+12,172461.431,42.915,43.464,42.915,172357.924,42.896,42.951,1,1,0,0,1,0,1,0.066664,0.036,0.127,0.052253,3,54,54,44.989189,42.401,64.723,2.919099,19378,64,64,0,0,0,0,0,0,1,1,13,1,2148,8960,130,130,8617984,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,1104,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044989189,742.8415747,498.0792045
192.168.100.1,49354,743160,0,743159,743157,130,1,130,0,0,0,1,1,192.168.100.2,80,177311,0,177311,1,10737418499,177308,10737450370,9,31871,0,1,1,1.60403E+12,1.60403E+12,169051.033,42.951,44.066,42.951,168945.041,42.937,42.984,1,1,0,0,1,0,1,0.064331,0.033,0.124,0.051695,3,54,54,45.634081,42.399,73.113,3.625692,10525,64,64,0,0,0,0,0,0,1,1,13,1,2342,8960,130,130,8896512,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,8,0,0,0,0,1,1,200,1,1885,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045634081,732.3438813,508.1282346
192.168.100.1,49574,613323,0,613322,613320,130,1,130,0,0,0,1,1,192.168.100.2,80,362767,0,362767,1,10737418501,362764,10737466298,20,47797,0,1,1,1.60403E+12,1.60403E+12,305125.062,42.866,43.795,42.866,305026.135,42.853,42.908,1,1,0,0,1,0,1,0.067331,0.037,0.123,0.048274,3,54,54,43.479073,42.339,55.609,0.684419,87728,64,64,0,0,0,0,0,0,1,1,13,1,1127,8960,130,130,8290304,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3417280,2896,14480,0,0,0,0,20,0,0,0,0,1,1,200,1,2611,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,27338240,0.043479073,628.7677752,281.5230248
