#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,42734,464915,0,464914,464912,130,1,130,0,0,0,1,1,192.168.100.2,80,180988,0,180988,1,10737418499,180985,10737451818,9,33319,0,1,1,1.60398E+12,1.60398E+12,170801.942,43.052,43.602,43.052,170697.711,43.045,43.076,1,1,0,0,1,0,1,0.063998,0.024,0.123,0.052163,3,54,54,45.742041,42.445,63.146,3.374606,19258,64,64,0,0,0,0,0,0,1,1,13,1,1993,8960,130,130,13623296,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,397,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045742041,730.6154091,502.9194255
192.168.100.1,43022,1154273,0,1154272,1154270,130,1,130,0,0,0,1,1,192.168.100.2,80,220687,0,220687,1,10737418499,220684,10737480778,18,62279,0,1,1,1.60398E+12,1.60398E+12,187828.664,42.944,43.99,42.944,187728.124,42.937,42.97,1,1,0,0,1,0,1,0.070331,0.026,0.151,0.069974,3,54,54,43.946379,42.386,56.204,1.883047,25131,64,64,0,0,0,0,0,0,1,1,13,1,3629,8960,130,130,9592832,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,7,0,0,11,0,0,0,0,1,1,200,1,2250,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.043946379,760.4685701,457.3308695
192.168.100.1,43184,872591,0,872590,872588,130,1,130,0,0,0,1,1,192.168.100.2,80,275109,0,275109,1,10736766899,275106,10736778498,13,11599,0,1,1,1.60398E+12,1.60398E+12,217907.702,42.827,43.985,42.827,217810.104,42.82,42.852,1,1,0,0,1,0,1,0.064331,0.025,0.133,0.059677,3,54,54,43.572897,42.278,56.088,0.776725,50800,64,64,0,0,0,0,0,0,1,1,13,1,1089,8960,130,130,7626752,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3686608,2896,14480,0,0,0,0,13,0,0,0,0,1,1,200,1,97,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,29492864,0.043572897,676.8625919,394.1771089
192.168.100.1,43362,756815,0,756814,756812,130,1,130,0,0,0,1,1,192.168.100.2,80,188553,0,188553,1,10737353339,188550,10737363490,9,10151,0,1,1,1.60398E+12,1.60398E+12,174787.849,42.955,43.642,42.955,174684.888,42.94,42.981,1,1,0,0,1,0,1,0.057331,0.026,0.114,0.049166,3,54,54,44.830388,42.37,57.402,2.954344,16600,64,64,0,0,0,0,0,0,1,1,13,1,2635,8960,130,130,8314880,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,9,0,0,0,0,1,1,200,1,1870,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044830388,745.4729145,491.446679
192.168.100.1,43614,838461,0,838460,838458,130,1,130,0,0,0,1,1,192.168.100.2,80,173558,0,173558,1,10737418497,173555,10737444578,10,26081,0,1,1,1.60398E+12,1.60398E+12,167101.539,42.79,43.578,42.79,166994.557,42.782,42.808,1,1,0,0,1,0,1,0.073331,0.018,0.184,0.09584,3,54,54,45.752617,42.435,61.592,3.775478,8118,64,64,0,0,0,0,0,0,1,1,13,1,3988,8960,130,130,8339456,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,1,0,0,9,0,0,0,0,1,1,200,1,1000,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.045752617,730.4465229,514.0560472
192.168.100.1,43738,521009,0,521008,521006,130,1,130,0,0,0,1,1,192.168.100.2,80,230335,0,230335,1,10737418497,230332,10737424306,12,5809,0,1,1,1.60398E+12,1.60398E+12,196635.028,42.959,44.035,42.959,196535.664,42.952,42.983,1,1,0,0,1,0,1,0.067664,0.024,0.155,0.075633,3,54,54,43.967672,42.348,62.851,1.630711,43479,64,64,0,0,0,0,0,0,1,1,13,1,775,8960,130,130,9379840,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,402,30080,28960,0,4151416,2896,14480,0,0,0,0,12,0,0,0,0,1,1,200,1,1233,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33211328,0.043967672,755.3578911,436.8468595
192.168.100.1,43894,588869,0,588868,588866,130,1,130,0,0,0,1,1,192.168.100.2,80,311742,0,311742,1,10737418499,311739,10737459058,14,40559,0,1,1,1.60398E+12,1.60398E+12,255484.35,42.911,43.95,42.911,255386.382,42.904,42.928,1,1,0,0,1,0,1,0.069664,0.017,0.172,0.088636,3,54,54,43.580054,42.347,56.569,0.8898,73675,64,64,0,0,0,0,0,0,1,1,13,1,508,8960,130,130,9035776,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3612760,2896,14480,0,0,0,0,14,0,0,0,0,1,1,200,1,561,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,28902080,0.043580054,663.1951397,336.222835
192.168.100.1,44164,720810,0,720809,720807,130,1,130,0,0,0,1,1,192.168.100.2,80,197165,0,197165,1,10737418499,197162,10737446026,17,27527,0,1,1,1.60398E+12,1.60398E+12,181653.17,42.994,44.284,42.994,181550.024,42.987,43.031,1,1,0,0,1,0,1,0.084664,0.037,0.174,0.077423,3,54,54,44.455269,42.352,63.885,2.647726,18922,64,64,0,0,0,0,0,0,1,1,13,1,2872,8960,130,130,8478720,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,10,0,0,7,0,0,0,0,1,1,200,1,544,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.044455269,751.7633062,472.8767916
192.168.100.1,44358,808501,0,808500,808498,130,1,130,0,0,0,1,1,192.168.100.2,80,168353,0,168353,1,10737418499,168350,10737418514,7,15,0,1,1,1.60398E+12,1.60398E+12,165596.66,43.113,44.035,43.113,165495.078,43.106,43.147,1,1,0,0,1,0,1,0.044665,0.03,0.07,0.02203,3,54,54,47.970387,42.399,62.108,4.135213,5560,64,64,0,0,0,0,0,0,1,1,13,1,4937,8960,130,130,16818176,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,0,0,0,7,0,0,0,0,1,1,200,1,396,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.047970387,696.6764725,518.7263325
192.168.100.1,44576,657819,0,657818,657816,130,1,130,0,0,0,1,1,192.168.100.2,80,333267,0,333267,1,10737418499,333264,10737432994,17,14495,0,1,1,1.60398E+12,1.60398E+12,275933.04,42.934,43.905,42.934,275835.262,42.928,42.951,1,1,0,0,1,0,1,0.062331,0.017,0.151,0.076794,3,54,54,43.423927,42.339,56.585,0.599711,82679,64,64,0,0,0,0,0,0,1,1,13,1,1120,8960,130,130,8560640,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3997928,2896,14480,0,1,0,0,16,0,0,0,0,1,1,200,1,281,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,31983424,0.043423927,736.5391896,311.3054673
