#15#c_ip:1,c_port:2,c_pkts_all:3,c_rst_cnt:4,c_ack_cnt:5,c_ack_cnt_p:6,c_bytes_uniq:7,c_pkts_data:8,c_bytes_all:9,c_pkts_retx:10,c_bytes_retx:11,c_pkts_ooo:12,c_syn_cnt:13,c_fin_cnt:14,s_ip:15,s_port:16,s_pkts_all:17,s_rst_cnt:18,s_ack_cnt:19,s_ack_cnt_p:20,s_bytes_uniq:21,s_pkts_data:22,s_bytes_all:23,s_pkts_retx:24,s_bytes_retx:25,s_pkts_ooo:26,s_syn_cnt:27,s_fin_cnt:28,first:29,last:30,durat:31,c_first:32,s_first:33,c_last:34,s_last:35,c_first_ack:36,s_first_ack:37,c_isint:38,s_isint:39,c_iscrypto:40,s_iscrypto:41,con_t:42,p2p_t:43,http_t:44,c_rtt_avg:45,c_rtt_min:46,c_rtt_max:47,c_rtt_std:48,c_rtt_cnt:49,c_ttl_min:50,c_ttl_max:51,s_rtt_avg:52,s_rtt_min:53,s_rtt_max:54,s_rtt_std:55,s_rtt_cnt:56,s_ttl_min:57,s_ttl_max:58,p2p_st:59,ed2k_data:60,ed2k_sig:61,ed2k_c2s:62,ed2k_c2c:63,ed2k_chat:64,c_f1323_opt:65,c_tm_opt:66,c_win_scl:67,c_sack_opt:68,c_sack_cnt:69,c_mss:70,c_mss_max:71,c_mss_min:72,c_win_max:73,c_win_min:74,c_win_0:75,c_cwin_max:76,c_cwin_min:77,c_cwin_ini:78,c_pkts_rto:79,c_pkts_fs:80,c_pkts_reor:81,c_pkts_dup:82,c_pkts_unk:83,c_pkts_fc:84,c_pkts_unrto:85,c_pkts_unfs:86,c_syn_retx:87,s_f1323_opt:88,s_tm_opt:89,s_win_scl:90,s_sack_opt:91,s_sack_cnt:92,s_mss:93,s_mss_max:94,s_mss_min:95,s_win_max:96,s_win_min:97,s_win_0:98,s_cwin_max:99,s_cwin_min:100,s_cwin_ini:101,s_pkts_rto:102,s_pkts_fs:103,s_pkts_reor:104,s_pkts_dup:105,s_pkts_unk:106,s_pkts_fc:107,s_pkts_unrto:108,s_pkts_unfs:109,s_syn_retx:110,http_req_cnt:111,http_res_cnt:112,http_res:113,c_pkts_push:114,s_pkts_push:115,c_tls_SNI:116,s_tls_SCN:117,c_npnalpn:118,s_npnalpn:119,c_tls_sesid:120,c_last_handshakeT:121,s_last_handshakeT:122,c_appdataT:123,s_appdataT:124,c_appdataB:125,s_appdataB:126,fqdn:127,dns_rslv:128,req_tm:129,res_tm:130,TCPWindowsize(CU*8(bits)),roundtrip(AZ/1000=s),AttemptedThroughput(Mbps),ActualThroughput(Mbps)
192.168.100.1,56761,1064573,0,1064572,1064570,130,1,130,0,0,0,1,1,192.168.100.2,80,182737,0,182737,1,10737418497,182734,10737488018,15,69521,0,1,1,1.60412E+12,1.60412E+12,200508.919,53.146,53.902,53.146,200382.222,53.139,53.173,1,1,0,0,1,0,1,0.044999,0.027,0.073,0.024576,3,54,54,56.439843,43.062,83.434,3.412101,14167,64,64,0,0,0,0,0,0,1,1,13,1,914255,8960,130,130,10665984,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,7,0,0,8,0,0,0,0,1,1,200,1,1476,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.056439843,592.1320511,428.4093923
192.168.100.1,56894,964882,0,964881,964879,130,1,130,0,0,0,1,1,192.168.100.2,80,319677,0,319677,1,10737418499,319674,10737485122,21,66623,0,1,1,1.60412E+12,1.60412E+12,293837.683,53.046,53.877,53.046,293715.654,53.031,53.064,1,1,0,0,1,0,1,0.035999,0.018,0.069,0.028618,3,54,54,54.2148,42.754,81.81,2.165526,62525,64,64,0,0,0,0,0,0,1,1,13,1,753966,8960,130,130,12476416,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4173136,2896,14480,0,2,0,0,19,0,0,0,0,1,1,200,1,57,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33385088,0.0542148,615.7928831,292.3378652
192.168.100.1,57182,975154,0,975153,975151,130,1,130,0,0,0,1,1,192.168.100.2,80,232674,0,232674,1,10737418499,232671,10737527114,27,108615,0,1,1,1.60412E+12,1.60412E+12,218904.653,53.236,54.16,53.236,218784.458,53.218,53.272,1,1,0,0,1,0,1,0.075331,0.036,0.153,0.067263,3,54,54,54.996455,43.558,82.504,2.823487,35907,64,64,0,0,0,0,0,0,1,1,13,1,823985,8960,130,130,8617984,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4177480,2896,14480,0,16,0,0,11,0,0,0,0,1,1,200,1,1670,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33419840,0.054996455,607.6726218,392.4092784
192.168.100.1,57334,911247,0,911246,911244,130,1,130,0,0,0,1,1,192.168.100.2,80,316083,0,316083,1,10737418499,316080,10737926762,193,508263,0,1,1,1.60412E+12,1.60412E+12,287046.14,53.197,53.758,53.197,286927.242,53.189,53.224,1,1,0,0,1,0,1,0.054665,0.027,0.102,0.041187,3,54,54,54.14096,42.719,79.557,2.107228,65632,64,64,0,0,0,0,0,0,1,1,13,1,725971,8960,130,130,10158080,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4167344,2896,14480,0,6,0,0,187,0,0,0,0,1,1,200,1,2103,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33338752,0.05414096,615.7768905,299.2669196
192.168.100.1,57590,1591547,0,1591546,1591544,130,1,130,0,0,0,1,1,192.168.100.2,80,199685,0,199685,1,10737418499,199682,10737428650,9,10151,0,1,1,1.60412E+12,1.60412E+12,205798.574,53.011,53.715,53.011,205672.893,52.998,53.044,1,1,0,0,1,0,1,0.059331,0.033,0.11,0.04389,3,54,54,55.101063,43.557,77.794,3.171702,17413,64,64,0,0,0,0,0,0,1,1,13,1,1409631,8960,130,130,8634368,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4231056,2896,14480,0,1,0,0,8,0,0,0,0,1,1,200,1,2160,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33848448,0.055101063,614.2975499,417.3956482
192.168.100.1,57770,954261,0,954260,954258,130,1,130,0,0,0,1,1,192.168.100.2,80,183249,0,183249,1,10737418501,183246,10737619786,30,201285,0,1,1,1.60412E+12,1.60412E+12,201446.587,53.033,53.935,53.033,201314.981,53.026,53.057,1,1,0,0,1,0,1,0.065331,0.024,0.138,0.063129,3,54,54,56.754156,43.357,85.716,3.730654,14928,64,64,0,0,0,0,0,0,1,1,13,1,819554,8960,130,130,9027584,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4236848,2896,14480,0,22,0,0,8,0,0,0,0,1,1,200,1,2672,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33894784,0.056754156,597.2211797,426.4205195
192.168.100.1,57944,945383,0,945382,945380,130,1,130,0,0,0,1,1,192.168.100.2,80,436121,0,436121,1,10737418499,436118,10737699426,114,280927,0,1,1,1.60412E+12,1.60412E+12,375584.266,53.06,53.578,53.06,375465.981,53.052,53.086,1,1,0,0,1,0,1,0.062331,0.026,0.126,0.05532,3,54,54,53.613197,42.615,65.641,1.239034,102066,64,64,0,0,0,0,0,0,1,1,13,1,684298,8960,130,130,8855552,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,3960280,2896,14480,0,2,0,0,112,0,0,0,0,1,1,200,1,562,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,31682240,0.053613197,590.94107,228.714574
192.168.100.1,58308,846666,0,846665,846663,130,1,130,0,0,0,1,1,192.168.100.2,80,229910,0,229910,1,10737418499,229907,10737537250,23,118751,0,1,1,1.60412E+12,1.60412E+12,230217.168,53.048,53.905,53.048,230096.685,53.04,53.074,1,1,0,0,1,0,1,0.062665,0.026,0.127,0.055896,3,54,54,54.611109,42.935,85.675,2.86623,32718,64,64,0,0,0,0,0,0,1,1,13,1,701321,8960,130,130,8609792,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4226712,2896,14480,0,15,0,0,8,0,0,0,0,1,1,200,1,2084,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33813696,0.054611109,619.1724838,373.1272465
192.168.100.1,58602,894154,0,894153,894151,130,1,130,0,0,0,1,1,192.168.100.2,80,167753,0,167753,1,10737418497,167750,10737540146,17,121649,0,1,1,1.60412E+12,1.60412E+12,200012.153,52.966,53.524,52.966,199889.459,52.959,52.991,1,1,0,0,1,0,1,0.060665,0.025,0.122,0.053351,3,54,54,60.024758,43.754,78.413,3.571589,6421,64,64,0,0,0,0,0,0,1,1,13,1,763357,8960,130,130,10190848,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4180376,2896,14480,0,8,0,0,9,0,0,0,0,1,1,200,1,807,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33443008,0.060024758,557.1535665,429.4755088
192.168.100.1,58830,947912,0,947911,947909,130,1,130,0,0,0,1,1,192.168.100.2,80,233781,0,233781,1,10737418497,233778,10737456162,13,37665,0,1,1,1.60412E+12,1.60412E+12,214880.562,54.713,55.362,54.713,214756.912,54.695,54.737,1,1,0,0,1,0,1,0.042332,0.024,0.072,0.025929,3,54,54,55.155578,42.816,81.455,2.692348,40009,64,64,0,0,0,0,0,0,1,1,13,1,809239,8960,130,130,12984320,26880,0,130,130,130,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,65160,1448,30080,28960,0,4200648,2896,14480,0,2,0,0,11,0,0,0,0,1,1,200,1,1404,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,33605184,0.055155578,609.279881,399.7553268
